rxcui,judgment,should_be,reason_category,note
1664543,WRONG,R05DA04|R06AB04,missing-combo-L5,"Drops chlorpheniramine (R06AB04) entirely, keeping only codeine; production already had both ingredient codes correctly and there is no dedicated combo L5 to justify the drop"
1086386,CORRECT,,,"V06DC01 (glucose, oral) correct for oral solution; IV additive B05BA03 correctly removed"
1150114,CORRECT,,,"C01BB01 (lidocaine, antiarrhythmic) + N01BB02 (lidocaine, local anesthetic) both plausible for an injectable syringe; topical/throat codes correctly removed"
1305902,UNSURE,,other,"Can't verify exact B02BB01/B02BC06/B02BD30 mapping for a fibrinogen/thrombin fibrin sealant from memory"
1146712,CORRECT,,,"D01AE12 (salicylic acid) correct for topical lotion"
2102938,CORRECT,,,"D04AB01 (lidocaine, dermatological antipruritic) reasonable single code for a topical pain-relief cream"
763597,WRONG,B03BA01|B03BB01,l4-vs-l5-granularity,"Replaces two correct, specific vitamin L5 codes (B12=B03BA01, folate=B03BB01) with a vague generic multivitamin-combination bucket A11JA - a regression in specificity and likely wrong class"
307746,CORRECT,,,"Same triple-antacid combo as row 211640; A02AF02 correct"
790302,CORRECT,,,"S02AA01 (chloramphenicol, otic) correct; systemic/ophthalmic codes correctly removed"
849651,WRONG,A11HA07,salt-mismatch,"C04AC03 is inositol nicotinate (a distinct vasodilator ester), not plain inositol; conflating the two substances is an error"
359322,CORRECT,,,"M02AB01 (capsaicin) correct for topical ointment"
1116922,CORRECT,,,"M02AB01 (capsaicin) correct for topical spray"
1046700,CORRECT,,,"S01GA01 (naphazoline, ophthalmic) correct; laxative code A06AX01 removed"
318272,CORRECT,,,"B01AC06 (aspirin, antiplatelet) alone is appropriate for 81mg low-dose chewable; analgesic-dose codes correctly dropped given the sub-analgesic strength"
1047415,CORRECT,,,"D02AF (salicylic acid preparations, corn/callus paste class) is a reasonable distinct code for the paste dose form vs D01AE12 used for other salicylic acid formulations"
1540356,UNSURE,,other,"Brand name (Proctosol) implies anorectal indication; unclear if C05AA01 should also be included alongside D07AA02"
2048979,UNSURE,,other,"Can't confirm from memory whether this ethanol injection is antidote use (V03AB16) or other-varia use (V03AZ01)"
206033,UNSURE,,other,"Can't verify exact D08AH30 identity for clioquinol from memory or local snapshots"
197592,WRONG,V03AH01,wrong-route,"C02DA01 (diazoxide, antihypertensive) is used only as IV formulation for hypertensive emergency; an oral capsule is the hypoglycemia indication (V03AH01, e.g. Proglycem) only"
1114982,UNSURE,,other,"Same D09AA11 dressing-code concern as row 1011841 applied to a cream product"
1542820,WRONG,none/no dedicated code,wrong-route,"Same issue as row 1793908 - L03AX14 is the injectable immunostimulant code (Ceplene), not applicable to a topical cream"
829546,CORRECT,,,"D04AB04 (benzocaine, topical) correct; anorectal/throat codes correctly removed for a general topical spray"
859376,CORRECT,,,"R01BA03 (phenylephrine)/R05CA03 (guaifenesin)/R05DA03 (hydrocodone) breakdown reasonable"
1013659,CORRECT,,,"J01AA08 (minocycline, systemic) correct; dental-local code removed"
1293508,CORRECT,,,"N02CA02 (ergotamine) + N02CA52 (ergotamine combo) correct; mono-caffeine code correctly dropped"
800812,UNSURE,,other,"Can't verify exact B05BB02 multi-electrolyte solution code from memory"
636141,CORRECT,,,"A06AD17 (sodium phosphate) confirmed via local WHO snapshot A06AD.json - exact match; wrong-route codes removed"
1038798,WRONG,V06DC01,wrong-route,"B05BA03 is the IV/parenteral glucose code; this product is an oral chewable tablet. Row 1086386 (oral glucose solution) correctly uses V06DC01 in the same situation - inconsistent treatment here"
996746,CORRECT,,,"R01BA03/R05DA04/R06AA02 breakdown consistent with sibling cough-cold combo rows"
1494174,UNSURE,,other,"Can't verify exact D10AF06 mapping or whether sulfur-ingredient coverage is dropped from memory"
1099097,CORRECT,,,"G03AA07 (levonorgestrel and estrogen) is the standard combined-oral-contraceptive code; mono progestogen/estrogen codes correctly removed"
880411,WRONG,D01AE12,other,"D11AC08 (hair-loss treatment class) does not fit an anti-dandruff shampoo; inconsistent with sibling salicylic acid products (rows 2049391/312881/1304566/1146712) correctly coded D01AE12"
1049178,CORRECT,,,"D08AJ08 (benzethonium chloride) correct, retained from production; throat code correctly removed"
1043205,CORRECT,,,"M02AB01 (capsaicin) correct for topical gel"
212812,WRONG,D01AE12,other,"D11AF is unverified and likely a misclassification; inconsistent with sibling salicylic acid gel/lotion/solution products correctly coded D01AE12"
857758,CORRECT,,,"R01BA03/R05DA03/R06AB04 breakdown consistent with sibling cough-cold combo rows"
1235133,CORRECT,,,"D04AB01 (lidocaine, dermatological) reasonable single code for topical pain-relief cream"
858854,CORRECT,,,"R01BA03/R05DA03/R06AB04 breakdown consistent with sibling cough-cold combo rows"
1489299,UNSURE,,other,"Unclear whether D04AX (antipruritics, L4) or a zinc-protectant class (e.g. D02AB) better fits a diaper rash cream"
991488,CORRECT,,,"R05DA04 (codeine) + R06AD02 (promethazine) - production was missing promethazine entirely; new_final correctly restores full combo coverage"
