rxcui,drug_name,tty,production,prev_final,new_final,fix_source,confidence,reason
1116183,ascorbic acid 100 MG / calcium carbonate 200 MG / cholecalciferol 0.01 MG / copper sulfate 2 MG / dl-alpha tocopheryl acetate 30 UNT / ferrous fumarate 65 MG / folic acid 1 MG / magnesium oxide 10 MG / niacinamide 20 MG / potassium iodide 0.15 MG / pyridoxine hydrochloride 5 MG / retinol acetate 4000 UNT / riboflavin 3.4 MG / thiamine mononitrate 3 MG / vitamin B12 0.012 MG / zinc sulfate 15 MG Oral Tablet [Lactocal],SBD,A11CA01|A11DA01|A11GA01|A11HA01|A11HA02|A11HA03|A11HA04|A12CB01|B03BA01|B03BB01|V03AB20,B03AE04,B03AE04,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1314654,calcium pantothenate 10 MG / copper sulfate 0.8 MG / ferrous fumarate 324 MG / folic acid 1 MG / magnesium sulfate 6.9 MG / manganese sulfate 1.3 MG / niacinamide 30 MG / pyridoxine hydrochloride 5 MG / riboflavin 6 MG / sodium ascorbate 200 MG / thiamine mononitrate 10 MG / vitamin B12 0.015 MG / zinc sulfate 18.2 MG Oral Capsule,SCD,A11DA01|A11HA01|A11HA02|A11HA04|A12CB01|B03BA01|B03BB01|V03AB20,A06AD04|A11DA01|A11HA01|A11HA02|A11HA04|A11HA31|A12CB01|A12CC02|B03AA02|B03BA01|B03BB01|V03AB20|V04CC02,A06AD04|A11DA01|A11HA01|A11HA02|A11HA04|A11HA31|A12CB01|A12CC02|B03AA02|B03BA01|B03BB01|V03AB20|V04CC02,llm-KEEP_CURRENT,LOW,low-confidence adjudication
797654,ascorbic acid 80 MG / biotin 0.03 MG / calcium carbonate 200 MG / cupric oxide 3 MG / ferrous fumarate 60 MG / folic acid 1 MG / magnesium oxide 100 MG / niacinamide 17 MG / pantothenic acid 7 MG / riboflavin 1.6 MG / thiamine 1.5 MG / vitamin A 4000 UNT / vitamin B12 0.0025 MG / vitamin B6 4 MG / vitamin E 400 UNT / zinc oxide 25 MG Oral Tablet [Prenatal Rx 1],SBD,A11CA01|A11DA01|A11GA01|A11HA01|A11HA03|A11HA04|A11HA05|B03BA01|B03BB01,A02AA02|A02AC01|A06AD02|A11CA01|A11DA01|A11GA01|A11HA01|A11HA03|A11HA04|A11HA05|A12AA04|A12CC10|B03AA02|B03BA01|B03BB01,A02AA02|A02AC01|A06AD02|A11CA01|A11DA01|A11GA01|A11HA01|A11HA03|A11HA04|A11HA05|A12AA04|A12CC10|B03AA02|B03BA01|B03BB01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1293739,chromic chloride 0.0205 MG/ML / copper sulfate 1.57 MG/ML / manganese sulfate 0.308 MG/ML / selenious acid 0.0327 MG/ML / zinc sulfate 4.39 MG/ML Injectable Solution [Multitrace-5],SBD,A12CB01|V03AB20,B05BB,V03AB20,llm-USE_ATCPROD,LOW,low-confidence adjudication
1292923,aluminum sulfate 7.44 MG/ML / calcium acetate 5.24 MG/ML Topical Solution,SCD,V03AE07,D08AB,,llm-OTHER,LOW,no WHO code (LLM)
1593881,sodium chloride 6.5 MG/ML Nasal Spray [Little Noses],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,R01AX,llm-KEEP_CURRENT,LOW,low-confidence adjudication
351179,sodium chloride 9 MG/ML Nasal Spray,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,R01AX,llm-KEEP_CURRENT,LOW,low-confidence adjudication
198745,magnesium sulfate 0.8 MG/MG Topical Ointment,SCD,A06AD04|B05XA05,D11AX05,D11AX05,llm-USE_ATCPROD,LOW,low-confidence adjudication
806413,glucose 35 MG/ML / potassium chloride 0.027 MEQ/ML / sodium chloride 0.026 MEQ/ML Injectable Solution,SCD,A12CA01|B05BA03|B05BB01|B05CB01|B05XA03|S01XA03|V06DC01,A12CA01|A12BA01|B05BB02|B05CB01|B05XA03|B05XA01,A12CA01|B05CB01|B05XA03|B05XA01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1113058,chlorcyclizine hydrochloride 20 MG/ML / hydrocortisone acetate 5 MG/ML Topical Cream,SCD,R06AE04,C05AA01|D07AA02|D07XA01,R06AE04,llm-USE_ATCPROD,LOW,low-confidence adjudication
806384,"calcium chloride 0.002 MEQ/ML / glucose 0.92 MG/ML / glutathione 0.184 MG/ML / magnesium chloride 0.002 MEQ/ML / potassium chloride 0.005 MEQ/ML / sodium bicarbonate 0.025 MEQ/ML / sodium chloride 0.133 MEQ/ML / sodium phosphate, dibasic 0.42 MG/ML Ophthalmic Solution",SCD,V03AB32,A12AA07|A12BA01|A12CA01|A12CC01|B05CB01|B05CB04|B05CX01|B05XA01|B05XA02|B05XA03|B05XA07|B05XA11|G04BA03|V03AB32|V04CA02|V06DC01,S01XA20,llm-OTHER,LOW,low-confidence adjudication
1116365,sodium chloride 0.002 MG/MG Nasal Gel [Rhinaris],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A12CA01|B05CB01|B05XA03,,llm-OTHER,LOW,no WHO code (LLM)
2109530,sodium chloride 70 MG/ML Inhalation Solution [PulmoSal],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,,llm-OTHER,LOW,no WHO code (LLM)
851210,{60 (caffeine 65 MG / riboflavin 6.25 MG / thiamine 25 MG / vitamin B12 0.125 MG / vitamin B6 25 MG Oral Capsule) / 60 (ibuprofen 400 MG Oral Tablet) } Pack [IC 400 Kit],BPCK,A11DA01|A11HA04|B03BA01|M01AE01|M01AE14|N06BC01,A11DA01|A11HA04|B03BA01|D11AX26|M01AE01|M02AA13|N06BC01,M01AE01|A11DA01|A11HA04|B03BA01|N06BC01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1593886,sodium chloride 11.25 MG/ML Nasal Spray [Aqua Maris],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A12CA01|B05CB01|B05XA03,,llm-OTHER,LOW,no WHO code (LLM)
992787,dehydrocholic acid 125 MG / homatropine hydrobromide 2.5 MG / phenobarbital 8 MG Oral Tablet,SCD,N03AA02|S01FA05,A03BB06|N03AA02,N03AA02,llm-OTHER,LOW,low-confidence adjudication
1370752,hydrocortisone valerate 0.002 MG/MG Topical Ointment [Westcort],SBD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,D07AA02|D07XA01,D07AA02,llm-OTHER,LOW,low-confidence adjudication
204749,4-aminobenzoic acid 30 MG Oral Tablet,SCD,D02BA01,A11HA,,llm-OTHER,LOW,no WHO code (LLM)
1310934,glycerin 0.2 MG/MG Medicated Bar Soap,SCD,A06AX01,A06AG04|A06AX01,,llm-OTHER,MED,no WHO code (LLM)
1495103,salicylic acid 2 MG/ML Otic Suspension,SCD,D01AE12|N02BA04,D01AE12,D01AE12,llm-KEEP_CURRENT,LOW,low-confidence adjudication
308959,cantharidin 10 MG/ML / podophyllin 50 MG/ML / salicylic acid 300 MG/ML Topical Solution,SCD,D01AE12|D06BB04|N02BA04,D01AE12,D01AE12|D06BB04,llm-OTHER,LOW,low-confidence adjudication
347742,carbon monoxide 0.1 % / helium 10 % / nitrogen 68.9 % / oxygen 21 % Gas for Inhalation,SCD,V03AN01|V03AN03|V03AN04,V03AN01|V03AN03|V03AN04|V04CX08,V03AN01|V03AN03|V03AN04|V04CX08,llm-KEEP_CURRENT,LOW,low-confidence adjudication
208303,benzocaine 200 MG/ML Otic Solution [Americaine Otic],SBD,C05AD03|D04AB04|R02AD01,C05AD03|D04AB04|N01BA05|R02AD01,,llm-OTHER,MED,no WHO code (LLM)
1048078,atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / scopolamine hydrobromide 0.0065 MG Oral Tablet,SCD,A03BA03,A03CB,A03BA01|A03BA03,llm-OTHER,LOW,low-confidence adjudication
1945175,glycerin 990 MG/ML Topical Solution,SCD,A06AX01,A06AG04|A06AX01,,llm-OTHER,MED,no WHO code (LLM)
1484890,coal tar 20 MG/ML / menthol 10 MG/ML / salicylic acid 30 MG/ML Medicated Shampoo,SCD,D01AE12|N02BA04,D01AE12,D11AC,llm-OTHER,LOW,low-confidence adjudication
1539265,ubidecarenone 125 MG / vitamin E 10 UNT Oral Capsule [NeoQ10],SBD,A11HA03|C01EB09,C01EX,C01EX,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1947261,histamine dihydrochloride 0.5 MG/ML / menthol 100 MG/ML / methyl salicylate 100 MG/ML Topical Cream,SCD,V04CG03,L03AX14,,llm-OTHER,LOW,no WHO code (LLM)
204899,cysteine 3.5 MG/ML / inositol 8.3 MG/ML / methionine 8.3 MG/ML / sodium propionate 5 MG/ML / urea 83.4 MG/ML Vaginal Cream,SCD,A11HA07|S01AX10|V03AB26,A11HA07|B05BC02|C04AC03|D02AE01|S01AX10|V03AB26|V04CX05,,llm-OTHER,LOW,no WHO code (LLM)
309316,citric acid 2300 MG / simethicone 300 MG / sodium bicarbonate 3100 MG Oral Granules,SCD,A09AB04,A09AB04|B05CB04,A09AB04,llm-KEEP_CURRENT,LOW,low-confidence adjudication
795765,ferrous fumarate 162 MG / polysaccharide iron complex 115 MG Oral Capsule,SCD,B03AA02|B03AB02,B03AE,B03AA02,llm-OTHER,LOW,low-confidence adjudication
204925,coal tar 5 MG/ML / salicylic acid 20 MG/ML / sulfur 20 MG/ML Medicated Shampoo,SCD,D10AB02,D01AE12|D10AB02,D11AC08,llm-OTHER,LOW,low-confidence adjudication
318178,dihydroergocornine 0.167 MG / dihydroergocristine 0.167 MG / dihydroergocryptine 0.167 MG Sublingual Tablet,SCD,C04AE04,C04AE04|N04BC03,C04AE04,llm-OTHER,LOW,low-confidence adjudication
1992841,chlorhexidine gluconate 30 MG/ML / climbazole 5 MG/ML / salicyloyl phytosphingosine 0.5 MG/ML Medicated Shampoo,SCD,A01AB03|D08AC02|R02AA05,D08AC02|D09AA12,D08AC02,llm-OTHER,LOW,low-confidence adjudication
313805,aspirin 324 MG / phenyltoloxamine citrate 20 MG Oral Tablet,SCD,B01AC06|N02BA01|N02BA51,A01AD05|B01AC06|N02BA01,N02BA01|R06AC01,llm-OTHER,LOW,low-confidence adjudication
212048,aluminum hydroxide 80 MG / magnesium trisilicate 20 MG Chewable Tablet [Genaton Chewable],SBD,A02AB01,A02AB01|A02AB02,A02AB01|A02AB02,llm-KEEP_CURRENT,LOW,low-confidence adjudication
2119467,histamine dihydrochloride 0.0005 MG/MG Topical Gel,SCD,V04CG03,L03AX14,L03AX14,llm-KEEP_CURRENT,LOW,low-confidence adjudication
244051,sodium chloride 2250 MG Oral Tablet,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A12CA01|B05CB01,A12CA01|B05CB01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
346806,ethanol 0.05 ML/ML / glucose 50 MG/ML Injectable Solution,SCD,B05BA03|V06DC01,B05CX01|V03AB16|V03AZ01|V04CA02|V06DC01,B05CX01,llm-OTHER,LOW,low-confidence adjudication
807356,aluminum hydroxide 80 MG / magnesium trisilicate 20 MG Chewable Tablet [Alenic Alka Chewable Tablet],SBD,A02AB01,A02AB01|A02AB02,A02AB01|A02AB02,llm-KEEP_CURRENT,LOW,low-confidence adjudication
262197,chromic chloride 0.0513 MG/ML / copper sulfate 3.93 MG/ML / manganese sulfate 1.54 MG/ML / selenious acid 0.098 MG/ML / zinc sulfate 22 MG/ML Injectable Solution [Multitrace-5],SBD,A12CB01|V03AB20,B05BB,B05BB,llm-KEEP_CURRENT,LOW,low-confidence adjudication
577819,aluminum hydroxide 80 MG / magnesium carbonate 20 MG Chewable Tablet,SCD,A02AB01,A02AA01|A02AB01|A02AB02|A06AD01,A02AA01|A02AB01|A02AB02|A06AD01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1250909,aspirin 500 MG / diphenhydramine citrate 38.3 MG Oral Tablet [Bayer Aspirin PM Reformulated Nov 2011],SBD,B01AC06|D04AA32|N02BA01|N02BA51|R06AA02,B01AC06|N02BA01|N02BA51|R06AA02,R06AA02,llm-OTHER,LOW,low-confidence adjudication
1362213,{30 (4000 MG) (hydrocortisone acetate 25 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Cream [Analpram HC]) / 18 (pramoxine hydrochloride 10 MG/ML Medicated Pad [Prax]) } Pack [Analpram E Kit with 18 Prax Medicated Pads],BPCK,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,A01AC03|A07EA02|C05AA01|C05AD07|D04AB07|D07AA02|D07XA01|H02AB09|S01BA02|S01CB03|S02BA01,C05AA01|C05AD07,llm-OTHER,LOW,low-confidence adjudication
1293446,chromic chloride 0.00436 MG/ML / copper sulfate 0.39 MG/ML / manganese sulfate 0.077 MG/ML / zinc sulfate 6.6 MG/ML Injectable Solution [Multitrace-4],SBD,A12CB01|V03AB20,B05BB,B05BB,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1293962,diphenhydramine hydrochloride 2.5 MG/ML / guaifenesin 20 MG/ML / menthol 0.2 MG/ML / sodium citrate 10 MG/ML Oral Solution,SCD,B05CB02|R05CA03,B05CB02|R05CA03|R06AA02,R05CA03|R06AA02,llm-OTHER,LOW,low-confidence adjudication
1362059,"10 ML heparin sodium, porcine 100 UNT/ML Prefilled Syringe",SCD,B01AB01,B01AB01|C05BA03,B01AB01|C05BA03,llm-KEEP_CURRENT,LOW,low-confidence adjudication
905005,bromelains 66666 UNT Oral Tablet,SCD,B06AA11|D03BA03|M09AB03,M09AB03,M09AB03,llm-KEEP_CURRENT,LOW,low-confidence adjudication
308370,aspirin 650 MG / caffeine 32 MG / salicylamide 195 MG Oral Powder,SCD,N02BA05|N06BC01,A01AD05|B01AC06|N02BA01|N02BA05|N06BC01,N02BA51,llm-OTHER,LOW,low-confidence adjudication
312527,potassium chloride 6.7 MEQ Extended Release Oral Tablet,SCD,A12BA01|B05XA01,A12BA01,A12BA01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
198579,choline 500 MG Oral Tablet,SCD,N02BA03,N02BA03|N07AX02,,llm-OTHER,HIGH,no WHO code (LLM)
317282,orphenadrine 15 MG/ML Injectable Solution,SCD,M03BC01,M03BC01|N04AB02,M03BC01|N04AB02,llm-KEEP_CURRENT,LOW,low-confidence adjudication
801579,alanine 8.8 MG/ML / arginine 4.4 MG/ML / dibasic potassium phosphate 2.61 MG/ML / glucose 250 MG/ML / glycine 8.8 MG/ML / histidine 1.86 MG/ML / isoleucine 2.03 MG/ML / leucine 2.63 MG/ML / lysine 2.46 MG/ML / magnesium chloride 0.01 MEQ/ML / methionine 2.46 MG/ML / phenylalanine 2.63 MG/ML / proline 1.78 MG/ML / sodium acetate 0.036 MEQ/ML / sodium chloride 0.013 MEQ/ML / threonine 1.78 MG/ML / tryptophan 0.76 MG/ML / tyrosine 0.17 MG/ML / valine 1.95 MG/ML Injectable Solution,SCD,B05CX03|B05XA08|B05XB03|N06AX02|V03AB26,A12CA01|A12CC01|B05CB01|B05CX01|B05CX03|B05XA03|B05XA08|B05XA11|B05XB01|B05XB03|N06AX02|V03AB26|V04CA02|V06DC01,A12CA01|A12CC01|B05CB01|B05CX01|B05CX03|B05XA03|B05XA08|B05XA11|B05XB03|N06AX02|V03AB26|V04CA02|V06DC01,llm-OTHER,LOW,low-confidence adjudication
198468,aspirin 325 MG Rectal Suppository,SCD,B01AC06|N02BA01|N02BA51,A01AD05|B01AC06|N02BA01,A01AD05|B01AC06|N02BA01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
377832,triclosan Topical Lotion,SCDF,D08AE04,D08AE04|D09AA06,D08AE04|D09AA06,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1233692,calamine 140 MG/ML / diphenhydramine hydrochloride 20 MG/ML Topical Cream [Ivarest],SBD,D04AA32|R06AA02,D04AA32,D04AA32,llm-KEEP_CURRENT,LOW,low-confidence adjudication
307828,allantoin 15 MG/ML / aminacrine 2 MG/ML / sulfanilamide 150 MG/ML Vaginal Cream,SCD,D08AA02,D06BA05|D08AA02|J01EB06,D06BA05|D08AA02|J01EB06,llm-KEEP_CURRENT,LOW,low-confidence adjudication
857468,red yeast rice 600 MG Oral Tablet,SCD,C01EB09,C10AA,C10AA,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1486665,glycerin 2 MG/ML Medicated Shampoo,SCD,A06AX01,A06AG04|A06AX01,A06AG04|A06AX01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1302633,benzyl alcohol 0.1 ML/ML / camphor 5 MG/ML / menthol 2.5 MG/ML Topical Spray [Ivy Dry Super Continuous Spray],SBD,P03AX06,D04AX,D04AX,llm-KEEP_CURRENT,LOW,low-confidence adjudication
801486,alanine 5.7 MG/ML / arginine 2.85 MG/ML / dibasic potassium phosphate 2.61 MG/ML / glucose 100 MG/ML / glycine 5.7 MG/ML / histidine 1.2 MG/ML / isoleucine 1.32 MG/ML / leucine 1.7 MG/ML / lysine 1.59 MG/ML / magnesium chloride 0.01 MEQ/ML / methionine 1.59 MG/ML / phenylalanine 1.7 MG/ML / proline 1.15 MG/ML / sodium acetate 0.03 MEQ/ML / sodium chloride 0.02 MEQ/ML / threonine 1.15 MG/ML / tryptophan 0.5 MG/ML / tyrosine 0.11 MG/ML / valine 1.26 MG/ML Injectable Solution [Travasol 2.75],SBD,B05CX03|B05XA08|B05XB03|N06AX02|V03AB26,A12CA01|A12CC01|B05CB01|B05CX01|B05CX03|B05XA03|B05XA08|B05XA11|B05XB01|B05XB03|N06AX02|V03AB26|V04CA02|V06DC01,A12CA01|A12CC01|B05CB01|B05CX01|B05CX03|B05XA03|B05XA08|B05XA11|B05XB03|N06AX02|V03AB26|V04CA02|V06DC01,llm-OTHER,LOW,low-confidence adjudication
311662,methyltestosterone 5 MG Sublingual Tablet,SCD,G03BA02,G03BA02|G03EK01,G03BA02|G03EK01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
90176,iron,IN,,,,unchanged,n/a,no WHO code (LLM)
310541,glycerin 2.5 MG/ML Ophthalmic Solution,SCD,A06AX01,S01XA20,S01XA20,llm-KEEP_CURRENT,LOW,low-confidence adjudication
312106,belladonna alkaloids 15 MG / opium 60 MG Rectal Suppository,SCD,A03BA04|A07DA02,A07DA02|N02AA02,A07DA02|N02AA02,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1052709,Hydrogen Peroxide 15 MG/ML Mucous Membrane Topical Solution [Orajel Mouth Sore Rinse],SBD,A01AB02|D08AX01,D08AX01,D08AX01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
833104,alanine 4.22 MG/ML / arginine 4.32 MG/ML / aspartate 2.98 MG/ML / glucose 100 MG/ML / glutamate 3.14 MG/ML / glycine 2.12 MG/ML / histidine 1.28 MG/ML / isoleucine 2.8 MG/ML / leucine 4.25 MG/ML / lysine 4.46 MG/ML / magnesium chloride 0.00148 MEQ/ML / methionine 0.73 MG/ML / phenylalanine 1.26 MG/ML / potassium chloride 0.013 MEQ/ML / proline 3.07 MG/ML / serine 2.25 MG/ML / sodium chloride 0.0205 MEQ/ML / sodium phosphate 0.00347 MEQ/ML / threonine 1.7 MG/ML / tryptophan 0.85 MG/ML / tyrosine 1.15 MG/ML / valine 2.12 MG/ML Injectable Solution [Aminosyn II 4.5 % M in 10 % Dextrose],SBD,B05CX03|B05XB03|N06AX02|V03AB26,A06AD17|A06AG01|A09AB01|A12BA01|A12CA01|A12CC01|B05CB01|B05CX01|B05CX03|B05XA01|B05XA03|B05XA09|B05XA11|B05XB01|B05XB03|N06AX02|V03AB26|V03AG05|V04CA02|V06DC01|V10XX01,A06AD17|A06AG01|A12BA01|A12CA01|A12CC01|B05CB01|B05CX01|B05CX03|B05XA01|B05XA03|B05XA09|B05XA11|B05XB03|N06AX02|V03AB26|V03AG05|V04CA02|V06DC01,llm-OTHER,LOW,low-confidence adjudication
312107,belladonna alkaloids 16.2 MG / opium 60 MG Rectal Suppository,SCD,A03BA04|A07DA02,A03DB,A03DB|A07DA02,llm-OTHER,LOW,low-confidence adjudication
346805,ethanol 0.1 ML/ML / glucose 50 MG/ML Injectable Solution,SCD,B05BA03|V06DC01,B05CX01|V03AB16|V03AZ01|V04CA02|V06DC01,V03AB16|B05BA03,llm-OTHER,LOW,low-confidence adjudication
857529,aspirin 500 MG / hydrocodone bitartrate 5 MG Oral Tablet [Azdone],SBD,R05DA03,A01AD05|B01AC06|N02BA01|R05DA03,N02BA01|R05DA03,llm-OTHER,LOW,low-confidence adjudication
1242769,sodium chloride 0.192 MEQ/ML Otic Solution [Aqua Maris],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A12CA01|B05CB01|B05XA03,V07AB,llm-OTHER,LOW,low-confidence adjudication
1359359,bacitracin 0.5 UNT/MG / polymyxin B 10 UNT/MG / pramoxine hydrochloride 0.01 MG/MG Topical Ointment [Betadine Plus Antibiotic and Pain Reliever],SBD,A07AA05|C05AD07|D04AB07|D06AX05|J01XB02|J01XX10|R02AB04|S01AA18|S02AA11|S03AA03,S02AA11|S03AA03,D06AX05|D04AB07,llm-OTHER,LOW,low-confidence adjudication
1359083,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Painaid ESF],SBD,N02BE01|N06BC01,A01AD05|B01AC06|N02BA01|N02BE01|N06BC01,N02BA51,llm-OTHER,LOW,low-confidence adjudication
1606208,pyridoxine hydrochloride 5 MG/ML / salicylic acid 8.6 MG/ML / zinc gluconate 5 MG/ML Medicated Shampoo [Keratolux],SBD,A11HA02|A12CB02,D01AE12,D11AC|A11HA02|A12CB02,llm-OTHER,LOW,low-confidence adjudication
205281,aspirin 262.5 MG / caffeine 32.5 MG / salicylamide 30 MG Oral Tablet,SCD,N02BA05|N06BC01,A01AD05|B01AC06|N02BA01|N02BA05|N06BC01,N02BA51,llm-OTHER,LOW,low-confidence adjudication
833096,alanine 3.48 MG/ML / arginine 3.56 MG/ML / aspartate 2.45 MG/ML / glucose 50 MG/ML / glutamate 2.58 MG/ML / glycine 1.75 MG/ML / histidine 1.05 MG/ML / isoleucine 2.31 MG/ML / leucine 3.5 MG/ML / lysine 3.68 MG/ML / magnesium chloride 0.00148 MEQ/ML / methionine 0.6 MG/ML / phenylalanine 1.04 MG/ML / potassium chloride 0.013 MEQ/ML / proline 2.52 MG/ML / serine 1.86 MG/ML / sodium chloride 0.0205 MEQ/ML / sodium phosphate 0.00347 MEQ/ML / threonine 1.4 MG/ML / tryptophan 0.7 MG/ML / tyrosine 0.94 MG/ML / valine 1.75 MG/ML Injectable Solution [Aminosyn II 3.5 % M in 5 % Dextrose],SBD,B05CX03|B05XB03|N06AX02|V03AB26,A06AD17|A06AG01|A09AB01|A12BA01|A12CA01|A12CC01|B05CB01|B05CX01|B05CX03|B05XA01|B05XA03|B05XA09|B05XA11|B05XB01|B05XB03|N06AX02|V03AB26|V03AG05|V04CA02|V06DC01|V10XX01,A06AD17|A06AG01|A09AB01|A12BA01|A12CA01|A12CC01|B05CB01|B05CX01|B05CX03|B05XA01|B05XA03|B05XA09|B05XA11|B05XB01|B05XB03|V03AG05|V04CA02|V06DC01,llm-OTHER,LOW,low-confidence adjudication
857523,aspirin 224 MG / caffeine 32 MG / hydrocodone bitartrate 5 MG Oral Tablet,SCD,N06BC01|R05DA03,A01AD05|B01AC06|N02BA01|N06BC01|R05DA03,N02BA01|R05DA03,llm-OTHER,LOW,low-confidence adjudication
545871,acetaminophen 250 MG / aspirin 500 MG / caffeine 32.5 MG / salicylamide 150 MG Oral Tablet,SCD,N02BA05|N02BE01|N06BC01,A01AD05|B01AC06|N02BA01|N02BA05|N02BE01|N06BC01,N02BA51,llm-OTHER,LOW,low-confidence adjudication
800122,alanine 4.22 MG/ML / arginine 4.32 MG/ML / aspartate 2.98 MG/ML / glucose 250 MG/ML / glutamate 3.14 MG/ML / glycine 2.12 MG/ML / histidine 1.28 MG/ML / isoleucine 2.8 MG/ML / leucine 4.25 MG/ML / lysine 4.46 MG/ML / methionine 0.73 MG/ML / N-acetyltyrosine 1.15 MG/ML / phenylalanine 1.26 MG/ML / proline 3.07 MG/ML / serine 2.25 MG/ML / threonine 1.7 MG/ML / tryptophan 0.85 MG/ML / valine 2.12 MG/ML Injectable Solution [Aminosyn II 4.25/25],SBD,B05CX03|B05XB03|N06AX02|V03AB26,A09AB01|B05CX01|B05CX03|B05XB01|B05XB03|N06AX02|V03AB26|V04CA02|V06DC01,A09AB01|B05CX01|B05CX03|B05XB01|B05XB03|V04CA02|V06DC01,llm-OTHER,LOW,low-confidence adjudication
