rxcui,drug_name,tty,production,prev_final,new_final,fix_source,confidence,changed_this_pass
311215,kanamycin 500 MG Oral Capsule,SCD,A07AA08|J01GB04|S01AA24,A07AA08,A07AA08,atcprod-confirmed,HIGH,no
1090686,guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution [Sinufed],SBD,R01BA02|R05CA03,R01BA02|R05CA03,R01BA02|R05CA03,unchanged,n/a,no
311407,magaldrate 1080 MG / simethicone 20 MG Chewable Tablet,SCD,A02AD02,A02AD02,A02AD02,unchanged,n/a,no
198713,inositol 650 MG Oral Tablet,SCD,A11HA07,A11HA07,A11HA07,unchanged,n/a,no
1989869,salicylic acid 0.08 MG/MG Topical Gel,SCD,D01AE12|N02BA04,D01AE12,D01AE12,llm-KEEP_CURRENT,MED,no
204750,acetaminophen 162 MG / aspirin 162 MG / phenylpropanolamine 20 MG Oral Capsule,SCD,N02BE01|R01BA01,N02BE01|R01BA01,N02BE01|R01BA01,unchanged,n/a,no
205140,Acetaminophen 650 MG / Chlorpheniramine 4 MG / Phenylpropanolamine 25 MG Oral Tablet,SCD,N02BE01|R01BA01|R06AB04,N02BE01|R01BA01|R06AB04,N02BE01|R01BA01|R06AB04,unchanged,n/a,no
206406,hydrocortisone 15 MG/ML / oxytetracycline 5 MG/ML Ophthalmic Suspension [Terra-Cortril],SBD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|J01AA06|S01BA02,S01AA04|S01BA02|S01CB03,S01AA04|S01BA02|S01CB03,llm-KEEP_CURRENT,MED,no
313061,sodium lactate 50 MG/ML / urea 50 MG/ML Topical Lotion,SCD,D02AE01|G01AD01,D02AX,D02AE01,llm-OTHER,MED,YES
314266,tacrolimus 0.001 MG/MG Topical Ointment,SCD,D11AH01|L04AD02,D11AH01,D11AH01,atcprod-confirmed,HIGH,no
317128,misoprostol 0.2 MG Oral Tablet,SCD,A02BB01,A02BB01,A02BB01,unchanged,n/a,no
808520,isopropyl alcohol 0.7 ML/ML Topical Solution,SCD,D08AX05,D08AX05,D08AX05,unchanged,n/a,no
992485,benzoyl peroxide 0.025 MG/MG Topical Gel [Desquam],SBD,D10AE01,D10AE01,D10AE01,unchanged,n/a,no
730992,carbidopa 50 MG / entacapone 200 MG / levodopa 200 MG Oral Tablet [Stalevo],SBD,N04BA03,N04BA03,N04BA03,unchanged,n/a,no
861467,meperidine hydrochloride 50 MG Oral Tablet,SCD,N02AB02,N02AB02,N02AB02,unchanged,n/a,no
790297,captopril 50 MG / hydrochlorothiazide 15 MG Oral Tablet [Capozide],SBD,C09BA01,C09BA01,C09BA01,unchanged,n/a,no
753367,{21 (desogestrel 0.15 MG / ethinyl estradiol 0.03 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Desogen 28 Day],BPCK,G03AA09|G03AC09,G03AC09|G03CA01|L02AA03,G03AA09,llm-OTHER,HIGH,YES
799056,24 HR ropinirole 4 MG Extended Release Oral Tablet,SCD,N04BC04,N04BC04,N04BC04,unchanged,n/a,no
991884,sulfamethazine 1.45 MG/ML / trimethoprim 0.29 MG/ML Topical Solution [Maracyn Plus],SBD,J01EA01|J01EB03,J01EA01|J01EB03,J01EA01|J01EB03,unchanged,n/a,no
308272,antipyrine 47 MG/ML / benzocaine 10 MG/ML Otic Solution,SCD,C05AD03|D04AB04|R02AD01,S02DA03,S02DA03,llm-KEEP_CURRENT,MED,no
310667,guanethidine 50 MG Oral Tablet,SCD,C02CC02|S01EX01,C02CC02,C02CC02,llm-KEEP_CURRENT,HIGH,no
312109,oprelvekin 5 MG Injection,SCD,L03AC02,L03AC02,L03AC02,unchanged,n/a,no
311250,lactic acid 167 MG/ML / salicylic acid 167 MG/ML Topical Solution,SCD,D01AE12|G01AD01|N02BA04,D01AE12,D01AE12,llm-KEEP_CURRENT,MED,no
199194,benzocaine 200 MG/ML / oxyquinoline sulfate 5 MG/ML Topical Spray,SCD,C05AD03|D04AB04|R02AD01,C05AD03|D04AB04|D08AH03,C05AD03|D04AB04|D08AH03,llm-KEEP_CURRENT,MED,no
206835,etretinate 25 MG Oral Capsule [Tegison],SBD,D05BB01,D05BB01,D05BB01,unchanged,n/a,no
313235,24 HR testosterone 0.25 MG/HR Transdermal System,SCD,G03BA03,G03BA03,G03BA03,unchanged,n/a,no
348544,nitrogen 60 % / oxygen 40 % Gas for Inhalation,SCD,V03AN01|V03AN04,V03AN01|V03AN04,V03AN01|V03AN04,unchanged,n/a,no
809022,hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Diovan HCT],SBD,C09DA03,C09DA03,C09DA03,unchanged,n/a,no
826860,ascorbic acid 60 MG / biotin 0.3 MG / folic acid 0.8 MG / mecobalamin 0.006 MG / niacinamide 20 MG / pantothenate 10 MG / pyridoxine 10 MG / riboflavin 1.7 MG / thiamine 1.5 MG Oral Tablet [Dialyvite 800],SBD,A11DA01|A11GA01|A11HA01|A11HA02|A11HA04|A11HA05|B03BA05|B03BB01,A11EX,A11EX,llm-KEEP_CURRENT,HIGH,no
884187,clonidine hydrochloride 0.2 MG Oral Tablet [Catapres],SBD,C02AC01|N02CX02,C02AC01|N02CX02,C02AC01|N02CX02,unchanged,n/a,no
892160,aspirin 3900 MG Oral Tablet,SCD,B01AC06|N02BA01|N02BA51,B01AC06|N02BA01,N02BA01,llm-OTHER,MED,YES
902644,tetracycline hydrochloride 2.08 MG/ML Oral Solution [Ornacycline],SBD,D06AA04|J01AA07,A01AB13|J01AA07|S03AA02,J01AA07,llm-OTHER,HIGH,YES
308867,calcitriol 0.00025 MG Oral Capsule,SCD,A11CC04,A11CC04,A11CC04,unchanged,n/a,no
312764,quinine 300 MG Oral Capsule,SCD,P01BC01,P01BC01,P01BC01,unchanged,n/a,no
201882,"nitrofurantoin, macrocrystals 50 MG Oral Capsule [Macrodantin]",SBD,J01XE01,J01XE01,J01XE01,unchanged,n/a,no
402169,zolmitriptan 5 MG/ACTUAT Nasal Spray [Zomig],SBD,N02CC03,N02CC03,N02CC03,unchanged,n/a,no
836286,200 ACTUAT albuterol 0.09 MG/ACTUAT / ipratropium bromide 0.018 MG/ACTUAT Inhalation Spray,SCD,R03AL02,R03AL02,R03AL02,unchanged,n/a,no
308322,acetaminophen 500 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule,SCD,N02BE01|N06BC01,N02BE01,N02BE01,atcprod-confirmed,HIGH,no
308843,calcium carbonate 600 MG / cholecalciferol 125 UNT / ferrous fumarate 18 MG Oral Tablet,SCD,A12AA04|B03AA02,A02AC01|A11CC05|A12AA04|B03AA02,A11CC05|A12AA04|B03AA02,llm-OTHER,MED,YES
201961,finasteride 5 MG Oral Tablet [Proscar],SBD,G04CB01,G04CB01,G04CB01,unchanged,n/a,no
373369,phenylephrine Injectable Solution,SCDF,R01AA04|S01FB01|S01XA20,C01CA06,C01CA06,atcprod-confirmed,HIGH,no
617430,amoxicillin 80 MG/ML / clavulanate 11.4 MG/ML Oral Suspension,SCD,J01CA04,J01CR02,J01CR02|J01CA04,llm-OTHER,MED,YES
701338,azathioprine 25 MG Oral Tablet [Azasan],SBD,L04AX01,L04AX01,L04AX01,unchanged,n/a,no
706946,calcium carbonate 400 MG / simethicone 24 MG Chewable Tablet,SCD,A03AX13|A12AA04,A02AC01|A12AA04,A02AC01|A03AX13,llm-OTHER,MED,YES
645688,chlorophyllin copper complex 5 MG/ML / papain 52 MG/ML / urea 100 MG/ML Topical Spray,SCD,D02AE01,D02AE01,D02AE01,unchanged,n/a,no
672920,24 HR nifedipine 30 MG Extended Release Oral Tablet [Afeditab CR],SBD,C08CA05,C08CA05,C08CA05,unchanged,n/a,no
687443,lidocaine 70 MG/ML / tetracaine 70 MG/ML Topical Cream,SCD,D04AB01|N01BB02|R02AD02,D04AB01,D04AB01|D04AB06,llm-OTHER,HIGH,YES
751864,erythromycin stearate 250 MG Delayed Release Oral Tablet,SCD,J01FA01,J01FA01,J01FA01,unchanged,n/a,no
664743,atazanavir 300 MG Oral Capsule [Reyataz],SBD,J05AE08,J05AE08,J05AE08,unchanged,n/a,no
755737,dyphylline 20 MG/ML / guaifenesin 10 MG/ML Oral Solution,SCD,R03DA01|R05CA03,R03DA01|R05CA03,R03DA01|R05CA03,unchanged,n/a,no
755796,Chlorpheniramine 0.4 MG/ML / Phenylpropanolamine 2.5 MG/ML Oral Solution,SCD,R01BA01|R06AB04,R01BA01|R06AB04,R01BA01|R06AB04,unchanged,n/a,no
794246,{5 (moxifloxacin 400 MG Oral Tablet [Avelox]) } Pack [Avelox ABC],BPCK,J01MA14,J01MA14|S01AE07,J01MA14,llm-OTHER,HIGH,YES
798309,"acellular pertussis vaccine, inactivated 0.936 UNT/ML / diphtheria toxoid vaccine, inactivated 13.4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",SCD,J07AF01|J07AM01,J07AF01|J07AM01,J07AF01|J07AM01,unchanged,n/a,no
763232,24 HR niacin 500 MG / simvastatin 20 MG Extended Release Oral Tablet [Simcor],SBD,C10AD52,C10AD52,C10AD52,unchanged,n/a,no
707268,brompheniramine maleate 1.2 MG/ML / carbetapentane citrate 6 MG/ML / phenylephrine hydrochloride 2 MG/ML Oral Solution,SCD,R05DB05|R06AB01,R01BA03|R05DB05|R06AB01,R01BA03|R05DB05|R06AB01,llm-KEEP_CURRENT,MED,no
861966,iloprost 0.02 MG/ML Inhalation Solution [Ventavis],SBD,B01AC11,B01AC11,B01AC11,unchanged,n/a,no
865149,fluphenazine hydrochloride 2.5 MG Delayed Release Oral Tablet,SCD,N05AB02,N05AB02,N05AB02,unchanged,n/a,no
897785,24 HR trandolapril 2 MG / verapamil hydrochloride 180 MG Extended Release Oral Tablet [Tarka],SBD,C09BB10,C09BB10,C09BB10,unchanged,n/a,no
93756,simethicone 95 MG Oral Tablet [Phazyme],SBD,A03AX13,A03AX13,A03AX13,unchanged,n/a,no
992819,homatropine hydrobromide 10 MG/ML Ophthalmic Solution,SCD,S01FA05,S01FA05,S01FA05,unchanged,n/a,no
966230,levothyroxine sodium 0.075 MG Oral Tablet [Thyrox],SBD,H03AA01,H03AA01,H03AA01,unchanged,n/a,no
966622,diflorasone diacetate 0.0005 MG/MG Topical Ointment [Psorcon],SBD,D07AC10,D07AC10,D07AC10,unchanged,n/a,no
637213,naltrexone 380 MG Injection,SCD,N07BB04,N07BB04,N07BB04,unchanged,n/a,no
763581,12 HR methscopolamine nitrate 1.25 MG / phenylephrine hydrochloride 30 MG Extended Release Oral Tablet [Extendryl PEM],SBD,R01AA04|S01FB01|S01XA20,A03BB03|R01BA03,A03BB03|R01BA03|R01AA04,llm-OTHER,MED,YES
794244,capsaicin 1 MG/ML Topical Cream [Capzasin-HP],SBD,N01BX04,M02AB01,M02AB01,atcprod-confirmed,HIGH,no
896790,{28 (ribavirin 400 MG Oral Tablet [Ribasphere]) / 28 (ribavirin 600 MG Oral Tablet [Ribasphere]) } Pack [Ribasphere RibaPak 1000],BPCK,J05AP01,J05AP01,J05AP01,unchanged,n/a,no
979432,100 ML esmolol hydrochloride 20 MG/ML Injection,SCD,C07AB09,C07AB09,C07AB09,unchanged,n/a,no
991519,codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / promethazine hydrochloride 1.25 MG/ML Oral Solution,SCD,R05CA03|R05DA04,R05CA03|R05DA04|R06AD02,R05CA03|R05DA04|R06AD02,llm-KEEP_CURRENT,MED,no
992473,promethazine hydrochloride 5 MG/ML Oral Solution [Phenergan Fortis],SBD,R06AD02,R06AD02,R06AD02,unchanged,n/a,no
866419,24 HR metoprolol succinate 200 MG Extended Release Oral Tablet,SCD,C07AB02,C07AB02,C07AB02,unchanged,n/a,no
308413,aspirin 65 MG Chewable Tablet,SCD,B01AC06|N02BA01|N02BA51,A01AD05|B01AC06|N02BA01,N02BA01,llm-OTHER,LOW,YES
308481,"belladonna extract, USP 5 MG / methenamine 250 MG / salicylamide 120 MG Oral Tablet",SCD,J01XX05|N02BA05,J01XX05|N02BA05,J01XX05|N02BA05,unchanged,n/a,no
309140,cevimeline hydrochloride 30 MG Oral Capsule,SCD,N07AX03,N07AX03,N07AX03,unchanged,n/a,no
309317,citric acid 66.8 MG/ML / potassium citrate 110 MG/ML / sodium citrate 100 MG/ML Oral Solution,SCD,A09AB04|A12BA02|B05CB02,G04BC,G04BC,llm-KEEP_CURRENT,HIGH,no
309351,clioquinol 30 MG/ML / hydrocortisone 10 MG/ML Topical Lotion,SCD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,C05AA01|D07AA02|D07AB02|D07AB11|D07AC16|D07XA01|D08AH30|D09AA10,C05AA01|D07AA02|D07AB02|D07AB11|D07AC16|D07XA01|D08AH30|D09AA10,llm-KEEP_CURRENT,MED,no
1086990,chlorpheniramine maleate 0.8 MG/ML / phenylephrine hydrochloride 2 MG/ML Oral Solution [Tussanil],SBD,R06AB04,R06AB04,R06AB04,unchanged,n/a,no
198351,yohimbine 5.4 MG Oral Tablet,SCD,G04BE04,G04BE04,G04BE04,unchanged,n/a,no
198352,zidovudine 100 MG Oral Capsule,SCD,J05AF01,J05AF01,J05AF01,unchanged,n/a,no
198707,hydrocortisone 5 MG/ML Topical Cream,SCD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,D07AA02,D07AA02,atcprod-confirmed,HIGH,no
199093,cimetidine 100 MG Oral Tablet,SCD,A02BA01,A02BA01,A02BA01,unchanged,n/a,no
2001568,BX Rating 24 HR methylphenidate hydrochloride 54 MG Extended Release Oral Tablet,SCD,N06BA04,N06BA04,N06BA04,unchanged,n/a,no
2052704,tacrolimus 1 MG Granules for Oral Suspension [Prograf],SBD,D11AH01|L04AD02,L04AD02,L04AD02,atcprod-confirmed,HIGH,no
2052826,24 HR methylphenidate hydrochloride 72 MG Extended Release Oral Tablet [Relexxii],SBD,N06BA04,N06BA04,N06BA04,unchanged,n/a,no
207057,nandrolone 200 MG/ML Injectable Solution [Andryl 200],SBD,A14AB01|S01XA11,A14AB01,A14AB01,llm-KEEP_CURRENT,MED,no
207054,nandrolone 100 MG/ML Injectable Solution [Deca-Durabolin],SBD,A14AB01|S01XA11,A14AB01,A14AB01,llm-KEEP_CURRENT,MED,no
207938,hydrochlorothiazide 25 MG Oral Tablet [HydroDIURIL],SBD,C03AA03,C03AA03,C03AA03,unchanged,n/a,no
996191,codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution [Halotussin DAC],SBD,R01BA02|R05CA03|R05DA04,R01BA02|R05CA03|R05DA04,R01BA02|R05CA03|R05DA04,unchanged,n/a,no
996271,codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution [Ryna CX],SBD,R01BA02|R05CA03|R05DA04,R01BA02|R05CA03|R05DA04,R01BA02|R05CA03|R05DA04,unchanged,n/a,no
998521,miconazole nitrate 20 MG/ML Topical Lotion,SCD,A01AB09|D01AC02|G01AF04,D01AC02,D01AC02,atcprod-confirmed,HIGH,no
999986,amlodipine 10 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD,C03AA03|C08CA01,C09DX03,C09DX03,llm-KEEP_CURRENT,HIGH,no
346574,theophylline 200 MG Extended Release Oral Tablet,SCD,R03DA04,R03DA04,R03DA04,unchanged,n/a,no
347765,nitrogen 76.5 % / oxygen 23.5 % Gas for Inhalation,SCD,V03AN01|V03AN04,V03AN01|V03AN04,V03AN01|V03AN04,unchanged,n/a,no
359494,eletriptan 40 MG Oral Tablet,SCD,N02CC06,N02CC06,N02CC06,unchanged,n/a,no
807830,amylase 56000 UNT / lipase 20000 UNT / protease 44000 UNT Delayed Release Oral Capsule [Pancrease],SBD,A09AA01,A09AA01,A09AA01,unchanged,n/a,no
809258,amylase 48000 UNT / lipase 16000 UNT / protease 48000 UNT Delayed Release Oral Capsule [Palipase],SBD,A09AA01,A09AA01,A09AA01,unchanged,n/a,no
831215,24 HR diltiazem hydrochloride 120 MG Extended Release Oral Capsule [Dilt],SBD,C08DB01,C08DB01,C08DB01,unchanged,n/a,no
761985,{21 (ethinyl estradiol 0.035 MG / norethindrone 1 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Genora 1/35 28 Day],BPCK,G03AA05,G03AC01|G03CA01|G03DC02|L02AA03,G03AA05,llm-OTHER,HIGH,YES
860807,azelastine hydrochloride 0.5 MG/ML Ophthalmic Solution [Optivar],SBD,S01GX07,S01GX07,S01GX07,unchanged,n/a,no
890957,erythromycin 0.0053 MG/ML Topical Solution [Maracyn],SBD,J01FA01,D10AF02,D10AF02,llm-KEEP_CURRENT,MED,no
904661,{30 (aspirin 325 MG Oral Tablet) / 30 (pravastatin sodium 20 MG Oral Tablet [Pravachol]) } Pack [Pravigard 325/20],BPCK,C10BX02,C10BX02,C10BX02,unchanged,n/a,no
966474,levothyroxine sodium 0.075 MG Oral Tablet [Novothyrox],SBD,H03AA01,H03AA01,H03AA01,unchanged,n/a,no
310385,fluoxetine 20 MG Oral Capsule,SCD,N06AB03,N06AB03,N06AB03,unchanged,n/a,no
310637,guaifenesin 300 MG / phenylephrine hydrochloride 10 MG Extended Release Oral Capsule,SCD,R05CA03,R01BA03|R05CA03,R01BA03|R05CA03,llm-KEEP_CURRENT,MED,no
861576,esomeprazole 20 MG Granules for Oral Suspension [Nexium],SBD,A02BC05,A02BC05,A02BC05,unchanged,n/a,no
861668,dihydroergotamine mesylate 0.5 MG/ACTUAT Metered Dose Nasal Spray,SCD,N02CA01,N02CA01,N02CA01,unchanged,n/a,no
861228,24 HR amphetamine aspartate 6.25 MG / amphetamine sulfate 6.25 MG / dextroamphetamine saccharate 6.25 MG / dextroamphetamine sulfate 6.25 MG Extended Release Oral Capsule [Adderall],SBD,N06BA01|N06BA02,N06BA01|N06BA02,N06BA01|N06BA02,unchanged,n/a,no
861743,glyburide 1.25 MG / metformin hydrochloride 250 MG Oral Tablet,SCD,A10BD02,A10BD02,A10BD02,unchanged,n/a,no
2001472,niacin 250 MG Extended Release Oral Tablet [Endur-Acin],SBD,C10AD02,C10AD02,C10AD02,unchanged,n/a,no
207137,methylprednisolone 8 MG Oral Tablet [Medrol],SBD,H02AB04,H02AB04,H02AB04,unchanged,n/a,no
404066,isotretinoin 40 MG Oral Capsule [Sotret],SBD,D10BA01,D10AD04|D10BA01,D10BA01,llm-OTHER,HIGH,YES
994519,pyrantel 114 MG Chewable Tablet [Sentry HC Worm X],SBD,P02CC01,P02CC01,P02CC01,unchanged,n/a,no
310938,hydroxyzine 25 MG / oxyphencyclimine 5 MG Oral Tablet,SCD,A03AA01|N05BB01,A03AA01|N05BB01,A03AA01|N05BB01,unchanged,n/a,no
617945,atomoxetine 100 MG Oral Capsule [Strattera],SBD,N06BA09,N06BA09,N06BA09,unchanged,n/a,no
643937,bismuth subsalicylate 35 MG/ML Oral Suspension [Soothe Maximum Strength],SBD,A07BC04,A07BC04,A07BC04,unchanged,n/a,no
636794,12 HR disopyramide 150 MG Extended Release Oral Capsule,SCD,C01BA03,C01BA03,C01BA03,unchanged,n/a,no
672255,Chlorpheniramine 12 MG / Methscopolamine 2.5 MG / Phenylephrine 20 MG Oral Tablet,SCD,R06AB04,R06AB04,R06AB04,unchanged,n/a,no
645617,cephalexin 333 MG Oral Capsule,SCD,J01DB01,J01DB01,J01DB01,unchanged,n/a,no
707207,glycerin 2100 MG Rectal Suppository [Colace Glycerin Suppositories],SBD,A06AX01,A06AG04|A06AX01,A06AG04|A06AX01,llm-KEEP_CURRENT,MED,no
752005,bisacodyl 5 MG Delayed Release Oral Tablet [Gentlax Reformulated Jan 2008],SBD,A06AB02,A06AB02,A06AB02,unchanged,n/a,no
668691,telbivudine 600 MG Oral Tablet [Tyzeka],SBD,J05AF11,J05AF11,J05AF11,unchanged,n/a,no
755312,carbetapentane citrate 4 MG/ML / guaifenesin 20 MG/ML Oral Solution [Pulmari-GP],SBD,R05CA03|R05DB05,R05CA03|R05DB05,R05CA03|R05DB05,unchanged,n/a,no
759388,silver nitrate 10 MG/ML Ophthalmic Solution,SCD,D08AL01,D08AL01,D08AL01,unchanged,n/a,no
751871,{21 (ethinyl estradiol 0.035 MG / norethindrone 1 MG Oral Tablet) } Pack [Nortrel 1/35 21 Day],BPCK,G03AA05,G03AA05,G03AA05,unchanged,n/a,no
866421,24 HR metoprolol succinate 200 MG Extended Release Oral Tablet [Toprol],SBD,C07AB02,C07AB02,C07AB02,unchanged,n/a,no
891870,isosorbide dinitrate 40 MG Extended Release Oral Capsule [Dilatrate],SBD,C01DA08,C01DA08|C05AE02,C01DA08|C05AE02,llm-KEEP_CURRENT,MED,no
902626,dexlansoprazole 60 MG Delayed Release Oral Capsule [Dexilant],SBD,A02BC06,A02BC06,A02BC06,unchanged,n/a,no
992530,terbinafine hydrochloride 10 MG/ML Topical Cream [Lamisil],SBD,D01AE15|D01BA02,D01AE15,D01AE15,atcprod-confirmed,HIGH,no
727355,4 ML adenosine 3 MG/ML Prefilled Syringe,SCD,C01EB10,C01EB10,C01EB10,unchanged,n/a,no
749148,{12 (ethinyl estradiol 0.035 MG / norethindrone 0.5 MG Oral Tablet) / 9 (ethinyl estradiol 0.035 MG / norethindrone 1 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Leena 28 Day],BPCK,G03AA05,G03AA05,G03AA05,unchanged,n/a,no
798926,acetaminophen 325 MG Oral Tablet [Tactinal],SBD,N02BE01,N02BE01,N02BE01,unchanged,n/a,no
795468,penicillin G procaine 600000 UNT/ML Injectable Suspension [Wycillin],SBD,J01CE09,J01CE01|J01CE09,J01CE01|J01CE09,llm-KEEP_CURRENT,MED,no
861463,meperidine hydrochloride 50 MG/ML Injectable Solution,SCD,N02AB02,N02AB02,N02AB02,unchanged,n/a,no
861757,glyburide 5 MG / metformin hydrochloride 500 MG Oral Tablet [Glucovance],SBD,A10BD02,A10BD02,A10BD02,unchanged,n/a,no
863599,oxybutynin chloride 1 MG/ML Oral Solution,SCD,G04BD04,G04BD04,G04BD04,unchanged,n/a,no
894780,morphine sulfate 4 MG/ML Oral Solution,SCD,N02AA01,N02AA01,N02AA01,unchanged,n/a,no
895883,ivermectin 0.136 MG / praziquantel 114 MG / pyrantel 114 MG Chewable Tablet,SCD,P02BA01|P02CC01,P02BA01|P02CC01|P02CF01,P02BA01|P02CC01|P02CF01,llm-KEEP_CURRENT,MED,no
966153,levothyroxine sodium 0.025 MG Oral Tablet [Euthyrox],SBD,H03AA01,H03AA01,H03AA01,unchanged,n/a,no
979489,metaproterenol sulfate 4 MG/ML Inhalation Solution,SCD,R03CB03,R03AB03,R03AB03,atcprod-confirmed,HIGH,no
905087,{2 (risedronate sodium 75 MG Oral Tablet [Actonel]) } Pack [Actonel 75],BPCK,M05BA07,M05BA07,M05BA07,unchanged,n/a,no
992479,promethazine hydrochloride 50 MG Rectal Suppository [Phenergan],SBD,R06AD02,D04AA10|R06AD02,R06AD02,llm-OTHER,HIGH,YES
