rxcui,decision,final_codes,confidence,evidence
905511,KEEP_OURS,A03CB01,HIGH,"WHO A03CB01='methylscopolamine and psycholeptics' confirmed via A03CB WHO list; exact match for chlordiazepoxide+methscopolamine ('Librax Reformulated'); resolver splits into ingredient-alone codes N05BA02/A03BB03/S01FA03, losing the combination code (note: rxcui is retired, no live RxNav data available, decision based on WHO name-match)"
203457,ADOPT_RESOLVER,R06AA02|D04AA32,HIGH,"Benadryl(diphenhydramine) BN; live RxNav ATCPROD confirms BOTH R06AA(oral antihistamine) and D04AA(topical antihistamine) classes attached to this brand concept - a genuine multi-route brand; our shipped value only had D04AA(L4), missing the oral route entirely; resolver's L5 promotion for both routes is correct"
249710,KEEP_OURS,R05FB02,HIGH,Same dextromethorphan+guaifenesin combo-code pattern
1049666,KEEP_OURS,N02AJ17,HIGH,who_check already CONFIRMED; matches Tylox
898352,KEEP_OURS,C09BB13,HIGH,WHO C09BB13='benazepril and amlodipine' confirmed via C09BB snapshot; exact match for Lotrel
725072,KEEP_OURS,N06CA03,HIGH,Same fluoxetine+olanzapine pattern (Symbyax)
343030,KEEP_OURS,R05FB02,HIGH,Same dextromethorphan+guaifenesin combo-code pattern
861797,KEEP_OURS,A10BD03,HIGH,WHO A10BD03='metformin and rosiglitazone' confirmed via A10BD snapshot; matches Avandamet 1mg
996525,KEEP_OURS,R05FB02,HIGH,Same dextromethorphan+guaifenesin combo-code pattern
745718,KEEP_OURS,A03AX13,HIGH,"WHO A03AX13='silicones' (simethicone) confirmed via A03AX WHO list; resolver's P03AX05 is an ectoparasiticide class code, unrelated to an oral antiflatulent"
889622,KEEP_OURS,A03CA02,HIGH,WHO A03CA02='clidinium and psycholeptics' confirmed via A03CA snapshot; matches Clindex (chlordiazepoxide+clidinium)
1092602,OTHER,D08AC02,MED,Same chlorhexidine medicated-shampoo pattern as rxcui 1245392
1041524,KEEP_OURS,S02DA30,HIGH,WHO S02DA30='combinations' (otic analgesics/anesthetics class) confirmed via S02DA WHO list; fits this 4-ingredient otic combo; resolver's 9-code list is severe ingredient pollution across unrelated systemic/vaginal/nasal routes
1049693,KEEP_OURS,N02AJ18,HIGH,Same aspirin+oxycodone combo-code pattern as rxcui 724547 (Roxiprin); WHO N02AJ18 confirmed via N02AJ snapshot
1795169,OTHER,B05BB02,MED,"Glucose+sodium-chloride fixed-ratio IV injection; WHO B05BB02='electrolytes with carbohydrates' is the textbook WHO combo class for a dextrose-saline infusion; our_value(6-code shotgun incl. oral-mineral A12CA01) and resolver's list (incl. V04CA02=glucose-tolerance-test diagnostic reagent, wrong for a therapeutic infusion) are both ingredient-polluted"
991549,KEEP_OURS,C09BA06,HIGH,Same quinapril+HCTZ pattern (Quinaretic 10mg)
310355,OTHER,C02LA08|A12BA01,MED,"Flumethiazide has no WHO ATC code at all (absent from the C03AA thiazides WHO list - never separately classified); Rauwolfia serpentina whole root = C02AA04 (confirmed); WHO C02LA08='rauwolfia alkaloids, whole root and diuretics' is the exact combination class for rauwolfia+thiazide-diuretic; A12BA01(potassium chloride) retained as a separate supplement ingredient; both our_value and resolver_value miss the antihypertensive combination code entirely"
889624,KEEP_OURS,A03CA02,HIGH,Same chlordiazepoxide+clidinium pattern (Chlordinium)
1049253,KEEP_OURS,N02AJ17,HIGH,who_check already CONFIRMED; matches Magnacet 10mg
2108527,KEEP_OURS,A10AF01,HIGH,WHO A10AF01='insulin (human)' for the inhalation route confirmed via A10AF WHO list; matches Afrezza; RxNav's own ATCPROD wrongly tags this rxcui A10AB(injectable) - a known ATCPROD route-prefilter gap - but WHO's A10AF is route-specific to inhalation and is the clinically correct code
602630,KEEP_OURS,R05FB02,HIGH,Same dextromethorphan+guaifenesin combo-code pattern
5640,ADOPT_RESOLVER,C01EB16|G02CC01|M01AE01|M02AA13|R02AX02,HIGH,TTY=IN ibuprofen; live RxNav property API returns exactly these 5 L5 codes; per ingredient-level rule all L5 ATCs are kept unfiltered; our M01AE is a truncated L4
858827,KEEP_OURS,C09BA02,HIGH,WHO C09BA02='enalapril and diuretics' confirmed via C09BA snapshot; matches Vaseretic
1049235,KEEP_OURS,N02AJ17,HIGH,who_check already CONFIRMED; matches Endocet
1863986,OTHER,B05BB02,MED,Glucose+potassium-chloride+sodium-chloride IV injection; same WHO B05BB02='electrolytes with carbohydrates' logic as rxcui 1795169 applies to this maintenance IV fluid; both our_value and resolver_value are ingredient-polluted shotguns including wrong-context codes
1366495,ADOPT_RESOLVER,R06AE04,HIGH,Ahist; live RxNav related.json confirms IN=chlorcyclizine; WHO R06AE04=chlorcyclizine(oral) confirmed via R06AE WHO list; our R06AE is a truncated L4
896193,KEEP_OURS,R03AK06,HIGH,WHO R03AK06='salmeterol and fluticasone' confirmed via R03AK WHO list; exact match for Advair Diskus; resolver splits into 4 monotherapy ingredient codes
861762,KEEP_OURS,A10BD03,HIGH,Same metformin+rosiglitazone pattern (Avandamet 2mg)
1049709,KEEP_OURS,N02AJ17,HIGH,who_check already CONFIRMED
1049262,KEEP_OURS,N02AJ17,HIGH,who_check already CONFIRMED; matches Magnacet 5mg
1482815,KEEP_OURS,R05FB02,HIGH,Same dextromethorphan+guaifenesin combo-code pattern
1299861,KEEP_OURS,C09BA13,HIGH,Same moexipril+HCTZ pattern (Uniretic 15mg)
309740,KEEP_OURS,R05FB02,HIGH,Same dextromethorphan+guaifenesin combo-code pattern
672353,KEEP_OURS,A05BA01,MED,Same arginine oral-capsule logic as rxcui 311239
861747,KEEP_OURS,A10BD02,HIGH,"WHO A10BD02='metformin and sulfonylureas' confirmed; glyburide is a sulfonylurea, exact match for Glucovance"
861765,KEEP_OURS,A10BD03,HIGH,Same metformin+rosiglitazone pattern (Avandamet 4mg)
848772,KEEP_OURS,N02AJ18,HIGH,Same aspirin+oxycodone combo-code pattern (Percodan)
1011843,OTHER,D04AB01|D08AJ08,MED,"Same benzethonium chloride+lidocaine wrong-route pattern as rxcui 1545716, topical gel form"
206826,KEEP_OURS,G03FA01,HIGH,Same mestranol+norethindrone pattern (Norinyl 1-50)
1049241,KEEP_OURS,N02AJ17,HIGH,who_check already CONFIRMED; matches Lynox
