rxcui,decision,final_codes,confidence,evidence
801701,KEEP_OURS,A05BA01,LOW,"RxCUI has no live RxNorm ingredient/property data (looks retired). Neither A05BA01 (arginine glutamate, liver therapy) nor B05XB01 (arginine hydrochloride, IV amino acid additive) is a precise salt-form match for an oral nutritional arginine solution; keeping ours since resolver's B05XB01 is explicitly an IV-solution-additive class (wrong route for Oral Solution)"
1299219,KEEP_OURS,R02AA05,HIGH,"WHO R02AA05=chlorhexidine (throat antiseptic, admin route O) matches Oral Spray; B05CA02=chlorhexidine is under irrigating solutions class, wrong route/form"
1543207,KEEP_OURS,A10AF01,HIGH,"WHO snapshot: A10AF (Insulins and analogues for inhalation) has sole child A10AF01=insulin(human); ATCPROD misfiles Afrezza under A10AB (injectable fast-acting) but product is Inhalation Powder, so route-correct WHO code is A10AF01"
686894,OTHER,B05BB02,MED,"RxCUIs retired/not found in RxNav for direct ATCPROD check. WHO B05BB02='electrolytes with carbohydrates' (description: 'electrolyte solutions ... incl. combinations with e.g. carbohydrates') is the dedicated combo code for IV glucose+NaCl; both our_value and resolver_value are per-ingredient pollution lists (glucose codes union NaCl codes), not a real combo code"
686892,OTHER,B05BB02,MED,"RxCUIs retired/not found in RxNav for direct ATCPROD check. WHO B05BB02='electrolytes with carbohydrates' (description: 'electrolyte solutions ... incl. combinations with e.g. carbohydrates') is the dedicated combo code for IV glucose+NaCl; both our_value and resolver_value are per-ingredient pollution lists (glucose codes union NaCl codes), not a real combo code"
2176267,KEEP_OURS,R05FB02,HIGH,WHO snapshot R05FB02 = 'cough suppressants and expectorants' exactly matches dextromethorphan+guaifenesin; resolver split into per-ingredient codes R05DA09/R05CA03 (pollution)
1046423,ADOPT_RESOLVER,A01AA02,HIGH,"Product is a Toothpaste; WHO A01AA02=sodium monofluorophosphate (dental caries prophylactic) is the functionally correct class for a fluoride toothpaste. A11HA02=pyridoxine(vit B6) is a nonsensical primary classification for a toothpaste (minor additive, not the product's therapeutic purpose)"
1495474,KEEP_OURS,N02AJ22,HIGH,"WHO snapshot N02AJ22 = 'hydrocodone and paracetamol' exact match for Lortab; resolver split into component codes N02BE01(paracetamol)/R05DA03(unrelated - dextromethorphan-class cough code, wrong)"
1422098,KEEP_OURS,C10BA05,HIGH,WHO snapshot C10BA05 = 'atorvastatin and ezetimibe' exact match; resolver split into component codes C10AX09(ezetimibe)/C10AA05(atorvastatin)
1308476,KEEP_OURS,R05FB02,HIGH,WHO snapshot R05FB02 = 'cough suppressants and expectorants' exactly matches dextromethorphan+guaifenesin; resolver split into per-ingredient codes R05DA09/R05CA03 (pollution)
861792,KEEP_OURS,A10BD14,HIGH,WHO snapshot A10BD14 = 'metformin and repaglinide' exact match; resolver split into components A10BA02/A10BX02
904669,KEEP_OURS,C10BX02,HIGH,WHO snapshot C10BX02 = 'pravastatin and acetylsalicylic acid' exact match for aspirin+pravastatin pack; resolver split into 4 unrelated component/wrong codes
1049272,KEEP_OURS,N02AJ17,HIGH,WHO snapshot N02AJ17 = 'oxycodone and paracetamol' exact match; resolver split into components N02BE01/N02AA05
1043690,OTHER,D07AA02,HIGH,"Product (U-Cort) is plain single-ingredient hydrocortisone acetate cream (confirmed via RxNav related concepts, no urea/tar/salicylic acid partner). WHO D07X is explicitly defined as corticosteroids COMBINED with other non-corticosteroid agents (coal tar, urea, salicylic acid) - D07XA01 does not apply to a plain formulation. Only D07AA02 (plain weak corticosteroid) is correct; C05AA01 (anorectal-specific) also does not fit a general topical cream"
1049655,KEEP_OURS,N02AJ17,HIGH,WHO snapshot N02AJ17 = 'oxycodone and paracetamol' exact match; resolver split into components N02BE01/N02AA05
2100029,KEEP_OURS,A10AF01,HIGH,"WHO snapshot: A10AF (Insulins and analogues for inhalation) has sole child A10AF01=insulin(human); ATCPROD misfiles Afrezza under A10AB (injectable fast-acting) but product is Inhalation Powder, so route-correct WHO code is A10AF01"
477336,KEEP_OURS,R05FB02,HIGH,WHO snapshot R05FB02 = 'cough suppressants and expectorants' exactly matches dextromethorphan+guaifenesin; resolver split into per-ingredient codes R05DA09/R05CA03 (pollution)
1307984,KEEP_OURS,R05FB02,HIGH,WHO snapshot R05FB02 = 'cough suppressants and expectorants' exactly matches dextromethorphan+guaifenesin; resolver split into per-ingredient codes R05DA09/R05CA03 (pollution)
1312422,KEEP_OURS,A10BH51,HIGH,WHO snapshot A10BH51 = 'sitagliptin and simvastatin' exact match; resolver split into components C10AA01/A10BH01
1862102,KEEP_OURS,A10AF01,HIGH,"WHO snapshot: A10AF (Insulins and analogues for inhalation) has sole child A10AF01=insulin(human); ATCPROD misfiles Afrezza under A10AB (injectable fast-acting) but product is Inhalation Powder, so route-correct WHO code is A10AF01"
1422095,KEEP_OURS,C10BA05,HIGH,WHO snapshot C10BA05 = 'atorvastatin and ezetimibe' exact match; resolver split into component codes C10AX09(ezetimibe)/C10AA05(atorvastatin)
636230,ADOPT_RESOLVER,N07BA03,HIGH,"our_value N07BA is only the Level-4 class; WHO snapshot confirms N07BA03=varenicline is the specific L5 for this single-ingredient BN product. Resolver's L5 is the correct, more complete answer"
790296,KEEP_OURS,C09BA01,HIGH,WHO snapshot C09BA01 = 'captopril and diuretics' exact match for captopril+HCTZ; resolver split into components C09AA01/C03AA03
749862,KEEP_OURS,G03FA01,HIGH,"WHO G03FA (sequential preparations) codes by progestogen only with generic 'estrogen' (not split by estrogen type); G03FA01='norethisterone and estrogen' correctly covers mestranol+norethindrone sequential pack. Resolver split into G03AC01(progestogen-only class)/G03DC02(wrong - separate progestin class), not valid WHO codes for this product"
200053,KEEP_OURS,R05FB02,HIGH,WHO snapshot R05FB02 = 'cough suppressants and expectorants' exactly matches dextromethorphan+guaifenesin; resolver split into per-ingredient codes R05DA09/R05CA03 (pollution)
1011845,OTHER,D04AB01|D08AJ08,MED,"Product is a general topical first-aid gel (not anorectal, not injectable). D04AB01=lidocaine (topical dermatological anesthetic) + D08AJ08=benzethonium chloride (antiseptic) are correct; C05AE01=lidocaine is anorectal-specific (hemorrhoid/fissure) and N01BB02=lidocaine is the injectable/parenteral class - both wrong route for a topical gel, present in both our_value and resolver_value"
1049218,KEEP_OURS,N02AJ17,HIGH,WHO snapshot N02AJ17 = 'oxycodone and paracetamol' exact match; resolver split into components N02BE01/N02AA05
1192516,KEEP_OURS,D04AB04|D08AJ08,HIGH,D04AB04=benzocaine (topical anesthetic) + D08AJ08=benzethonium chloride (antiseptic) correctly cover the two classifiable actives; menthol has no dedicated WHO ATC code. Resolver adds C05AD03(anorectal-specific benzocaine) and N01BA05(injectable/dental-class benzocaine) - both wrong route for a Topical Spray
1007909,KEEP_OURS,N02AX51,HIGH,WHO snapshot N02AX51 = 'tilidine and naloxone' exact match; resolver adds component codes plus unrelated A06AH04(naloxone alone)/V03AB15(unrelated antidote class)
1043562,KEEP_OURS,A10BD10,HIGH,WHO snapshot A10BD10='metformin and saxagliptin' exact match; resolver adds component codes A10BA02/A10BH03
1189803,KEEP_OURS,A10BH51,HIGH,WHO snapshot A10BH51 = 'sitagliptin and simvastatin' exact match; resolver split into components C10AA01/A10BH01
1243019,KEEP_OURS,A10BD11,HIGH,WHO snapshot A10BD11='metformin and linagliptin' exact match; resolver adds component codes
1304475,KEEP_OURS,L01XX44,HIGH,"WHO L01XX44=aflibercept/ziv-aflibercept confirmed; ATCPROD shows ziv-aflibercept's only real RxNorm products (Zaltrap) map to L01XX, never S01LA. S01LA05 belongs to the distinct 'aflibercept' (Eylea) ingredient, not this PIN"
1368384,KEEP_OURS,A10BD13,HIGH,WHO snapshot A10BD13='metformin and alogliptin' exact match; resolver adds component codes
1368402,KEEP_OURS,A10BD09,HIGH,WHO snapshot A10BD09='pioglitazone and alogliptin' exact match (order-independent); resolver adds component codes
1422085,KEEP_OURS,C10BA05,HIGH,WHO snapshot C10BA05 = 'atorvastatin and ezetimibe' exact match; resolver split into component codes C10AX09(ezetimibe)/C10AA05(atorvastatin)
1422086,KEEP_OURS,C10BA05,HIGH,WHO snapshot C10BA05 = 'atorvastatin and ezetimibe' exact match; resolver split into component codes C10AX09(ezetimibe)/C10AA05(atorvastatin)
1430892,KEEP_OURS,C10BA04,HIGH,WHO snapshot C10BA04='simvastatin and fenofibrate' exact match; resolver adds component codes
1430990,KEEP_OURS,N06DA52,HIGH,WHO confirms N06DA52='donepezil and memantine' is a real WHO L5; resolver adds component codes N06DA02/N06DX01
1486436,KEEP_OURS,A10BD15,HIGH,WHO snapshot A10BD15='metformin and dapagliflozin' exact match; resolver adds component codes
1543202,KEEP_OURS,A10AF01,HIGH,"WHO snapshot: A10AF (Insulins and analogues for inhalation) has sole child A10AF01=insulin(human); ATCPROD misfiles Afrezza under A10AB (injectable fast-acting) but product is Inhalation Powder, so route-correct WHO code is A10AF01"
1544488,KEEP_OURS,A10AF01,HIGH,"WHO snapshot: A10AF (Insulins and analogues for inhalation) has sole child A10AF01=insulin(human); ATCPROD misfiles Afrezza under A10AB (injectable fast-acting) but product is Inhalation Powder, so route-correct WHO code is A10AF01"
1545149,KEEP_OURS,A10BD16,HIGH,WHO snapshot A10BD16='metformin and canagliflozin' exact match; resolver adds component codes
1551467,KEEP_OURS,A08AA62,HIGH,WHO confirms A08AA62='bupropion and naltrexone' is a real WHO L5 (Contrave); resolver adds component codes N06AX12/N07BB04
1591942,KEEP_OURS,J05AP51,HIGH,WHO snapshot J05AP51='sofosbuvir and ledipasvir' exact match; resolver adds component J05AP08 (sofosbuvir alone)
1597378,KEEP_OURS,J05AP53,HIGH,"WHO snapshot J05AP53='ombitasvir, paritaprevir and ritonavir' exact match; resolver adds component J05AE03"
1598392,KEEP_OURS,A10BD19,HIGH,WHO snapshot A10BD19='linagliptin and empagliflozin' exact match; resolver adds component codes
1600259,KEEP_OURS,J05AP52,HIGH,"WHO snapshot J05AP52='dasabuvir, ombitasvir, paritaprevir and ritonavir' exact match; resolver adds component codes"
1654910,KEEP_OURS,A10AF01,HIGH,"WHO snapshot: A10AF (Insulins and analogues for inhalation) has sole child A10AF01=insulin(human); ATCPROD misfiles Afrezza under A10AB (injectable fast-acting) but product is Inhalation Powder, so route-correct WHO code is A10AF01"
1656339,KEEP_OURS,C09DX04,HIGH,WHO snapshot C09DX04='valsartan and sacubitril' exact match (Entresto); resolver adds component C09CA03
1657073,ADOPT_RESOLVER,L01FG01,HIGH,"ATCPROD for every bevacizumab/biosimilar injection SCD/SBD/BN (Avastin, Mvasi, Zirabev) maps exclusively to L01FG (VEGF/VEGFR inhibitors, oncology). WHO confirms L01FG01=bevacizumab. These are standard IV oncology vial products, not the ophthalmic-specific S01LA08 presentation"
1664314,KEEP_OURS,A10BD20,HIGH,WHO snapshot A10BD20='metformin and empagliflozin' exact match; resolver adds component codes
1727493,KEEP_OURS,A10AE56,HIGH,WHO confirms A10AE56='insulin degludec and liraglutide' (Xultophy) real WHO L5; resolver adds component codes
1727500,KEEP_OURS,A10BD21,HIGH,WHO snapshot A10BD21='saxagliptin and dapagliflozin' exact match; resolver adds component codes
1734635,KEEP_OURS,J05AP54,HIGH,WHO snapshot J05AP54='elbasvir and grazoprevir' exact match; resolver adds component codes
1798387,KEEP_OURS,A10AF01,HIGH,"WHO snapshot: A10AF (Insulins and analogues for inhalation) has sole child A10AF01=insulin(human); ATCPROD misfiles Afrezza under A10AB (injectable fast-acting) but product is Inhalation Powder, so route-correct WHO code is A10AF01"
1799211,KEEP_OURS,J05AP55,HIGH,WHO snapshot J05AP55='sofosbuvir and velpatasvir' exact match; resolver adds component J05AP08
1856273,KEEP_OURS,B01AB01,HIGH,"ATCPROD for heparin calcium (20044) shows its only real RxNorm product ('heparin calcium 25000 UNT/ML Injectable Solution') maps to B01AB (anticoagulant); these species/salt-specific PINs (bovine/porcine/calcium/sodium-bovine) are marketed exclusively as injectable anticoagulants, not as the topical (C05BA03) or ophthalmic (S01XA14) heparin formulations resolver added"
1858994,KEEP_OURS,A10AE54,HIGH,WHO confirms A10AE54='insulin glargine and lixisenatide' (Soliqua) real WHO L5; resolver adds component codes
1862101,KEEP_OURS,A10AF01,HIGH,"WHO snapshot: A10AF (Insulins and analogues for inhalation) has sole child A10AF01=insulin(human); ATCPROD misfiles Afrezza under A10AB (injectable fast-acting) but product is Inhalation Powder, so route-correct WHO code is A10AF01"
1939328,KEEP_OURS,J05AP56,HIGH,"WHO snapshot J05AP56='sofosbuvir, velpatasvir and voxilaprevir' exact match; resolver adds component J05AP08"
1992684,KEEP_OURS,A10BD23,HIGH,WHO snapshot A10BD23='metformin and ertugliflozin' exact match; resolver adds component codes
1992825,KEEP_OURS,A10BD24,HIGH,WHO snapshot A10BD24='sitagliptin and ertugliflozin' exact match; resolver adds component codes
20044,KEEP_OURS,B01AB01,HIGH,"ATCPROD for heparin calcium (20044) shows its only real RxNorm product ('heparin calcium 25000 UNT/ML Injectable Solution') maps to B01AB (anticoagulant); these species/salt-specific PINs (bovine/porcine/calcium/sodium-bovine) are marketed exclusively as injectable anticoagulants, not as the topical (C05BA03) or ophthalmic (S01XA14) heparin formulations resolver added"
2017575,KEEP_OURS,L01XY01,HIGH,"L01XY01 (Vyxeos, liposomal cytarabine+daunorubicin combo) is the correct WHO combo code; resolver adds component codes L01BC01/L01DB02"
203211,KEEP_OURS,C08DB01,HIGH,"ATCPROD survey of all 72 real RxNorm 'diltiazem hydrochloride' products shows 100% map to C08DB (oral/injectable CCB); none are the topical anal-fissure formulation, so C05AE03 (which WHO does define for diltiazem, topical anorectal) does not apply to this PIN's actual product family"
2046138,ADOPT_RESOLVER,L01FG01|S01LA08,HIGH,"Ingredient-level PIN (bevacizumab-awwb / bevacizumab-bvzr): WHO confirms BOTH L01FG01 (oncology) and S01LA08 (ophthalmic anti-VEGF, WHO snapshot confirmed) are real, distinct WHO L5 codes for bevacizumab; per ingredient-level convention both should be shown, matching resolver's union"
2046140,ADOPT_RESOLVER,L01FG01,HIGH,"ATCPROD for every bevacizumab/biosimilar injection SCD/SBD/BN (Avastin, Mvasi, Zirabev) maps exclusively to L01FG (VEGF/VEGFR inhibitors, oncology). WHO confirms L01FG01=bevacizumab. These are standard IV oncology vial products, not the ophthalmic-specific S01LA08 presentation"
2046141,ADOPT_RESOLVER,L01FG01,HIGH,"ATCPROD for every bevacizumab/biosimilar injection SCD/SBD/BN (Avastin, Mvasi, Zirabev) maps exclusively to L01FG (VEGF/VEGFR inhibitors, oncology). WHO confirms L01FG01=bevacizumab. These are standard IV oncology vial products, not the ophthalmic-specific S01LA08 presentation"
2046148,ADOPT_RESOLVER,L01FG01,HIGH,"ATCPROD for every bevacizumab/biosimilar injection SCD/SBD/BN (Avastin, Mvasi, Zirabev) maps exclusively to L01FG (VEGF/VEGFR inhibitors, oncology). WHO confirms L01FG01=bevacizumab. These are standard IV oncology vial products, not the ophthalmic-specific S01LA08 presentation"
2056895,ADOPT_RESOLVER,L04AH02,HIGH,"Per curated strength-determined rule (CLAUDE.md Phase 2I): everolimus <=1mg maps to L04AH02 (transplant immunosuppressant, Zortress); this product is exactly 1 MG, so L04AH02 applies, not L01EG02 (reserved for >1mg antineoplastic/Afinitor)"
2100028,KEEP_OURS,A10AF01,HIGH,"WHO snapshot: A10AF (Insulins and analogues for inhalation) has sole child A10AF01=insulin(human); ATCPROD misfiles Afrezza under A10AB (injectable fast-acting) but product is Inhalation Powder, so route-correct WHO code is A10AF01"
2117292,KEEP_OURS,A10BD25,HIGH,"WHO snapshot A10BD25='metformin, saxagliptin and dapagliflozin' exact match; resolver adds component codes"
2268037,ADOPT_RESOLVER,L01FG01|S01LA08,HIGH,"Ingredient-level PIN (bevacizumab-awwb / bevacizumab-bvzr): WHO confirms BOTH L01FG01 (oncology) and S01LA08 (ophthalmic anti-VEGF, WHO snapshot confirmed) are real, distinct WHO L5 codes for bevacizumab; per ingredient-level convention both should be shown, matching resolver's union"
2268039,ADOPT_RESOLVER,L01FG01,HIGH,"ATCPROD for every bevacizumab/biosimilar injection SCD/SBD/BN (Avastin, Mvasi, Zirabev) maps exclusively to L01FG (VEGF/VEGFR inhibitors, oncology). WHO confirms L01FG01=bevacizumab. These are standard IV oncology vial products, not the ophthalmic-specific S01LA08 presentation"
2268040,ADOPT_RESOLVER,L01FG01,HIGH,"ATCPROD for every bevacizumab/biosimilar injection SCD/SBD/BN (Avastin, Mvasi, Zirabev) maps exclusively to L01FG (VEGF/VEGFR inhibitors, oncology). WHO confirms L01FG01=bevacizumab. These are standard IV oncology vial products, not the ophthalmic-specific S01LA08 presentation"
2268044,ADOPT_RESOLVER,L01FG01,HIGH,"ATCPROD for every bevacizumab/biosimilar injection SCD/SBD/BN (Avastin, Mvasi, Zirabev) maps exclusively to L01FG (VEGF/VEGFR inhibitors, oncology). WHO confirms L01FG01=bevacizumab. These are standard IV oncology vial products, not the ophthalmic-specific S01LA08 presentation"
2268047,ADOPT_RESOLVER,L01FG01,HIGH,"ATCPROD for every bevacizumab/biosimilar injection SCD/SBD/BN (Avastin, Mvasi, Zirabev) maps exclusively to L01FG (VEGF/VEGFR inhibitors, oncology). WHO confirms L01FG01=bevacizumab. These are standard IV oncology vial products, not the ophthalmic-specific S01LA08 presentation"
2268048,ADOPT_RESOLVER,L01FG01,HIGH,"ATCPROD for every bevacizumab/biosimilar injection SCD/SBD/BN (Avastin, Mvasi, Zirabev) maps exclusively to L01FG (VEGF/VEGFR inhibitors, oncology). WHO confirms L01FG01=bevacizumab. These are standard IV oncology vial products, not the ophthalmic-specific S01LA08 presentation"
2281864,KEEP_OURS,A10BD27,HIGH,"WHO snapshot A10BD27='metformin, linagliptin and empagliflozin' exact match; resolver adds component codes"
2283229,KEEP_OURS,C10BA10,HIGH,WHO snapshot C10BA10='bempedoic acid and ezetimibe' exact match; resolver adds component codes
235473,KEEP_OURS,B01AB01,HIGH,"ATCPROD for heparin calcium (20044) shows its only real RxNorm product ('heparin calcium 25000 UNT/ML Injectable Solution') maps to B01AB (anticoagulant); these species/salt-specific PINs (bovine/porcine/calcium/sodium-bovine) are marketed exclusively as injectable anticoagulants, not as the topical (C05BA03) or ophthalmic (S01XA14) heparin formulations resolver added"
236025,KEEP_OURS,B01AB01,HIGH,"ATCPROD for heparin calcium (20044) shows its only real RxNorm product ('heparin calcium 25000 UNT/ML Injectable Solution') maps to B01AB (anticoagulant); these species/salt-specific PINs (bovine/porcine/calcium/sodium-bovine) are marketed exclusively as injectable anticoagulants, not as the topical (C05BA03) or ophthalmic (S01XA14) heparin formulations resolver added"
