rxcui,judgment,should_be,reason_category,note
754028,CHANGE_WRONG,G03GA01,salt-mismatch,"A.P.L. is urinary-derived (natural) hCG, not recombinant choriogonadotropin alfa; G03GA08 correctly applies only to the recombinant product (Ovidrel, rxcui 727507), not to this one"
206876,CHANGE_WRONG,M01AE01,salt-mismatch,"Product is plain ibuprofen; M01AE14 is dexibuprofen, a distinct chemical entity, and shouldn't be added absent that specific salt/isomer"
1251566,CHANGE_WRONG,D01AE12,other,"D11AF does not match salicylic acid's WHO code; every other salicylic-acid row in this sample (245020, 251406, 312881, 1302643) correctly uses D01AE12"
1993067,CHANGE_CORRECT,,,"Eskata (topical hydrogen peroxide) correctly keeps only the antiseptic code D08AX01, dropping the dental code"
2599051,CHANGE_CORRECT,,,"Full-strength IV bevacizumab-maly biosimilar correctly resolves to the oncology monoclonal-antibody code L01FG01, not the ophthalmic anti-VEGF code"
1294380,CHANGE_CORRECT,,,"Correctly adds R01BA03 (phenylephrine) and R06AA02 (diphenhydramine) alongside the existing hydrocodone code, giving full 3-ingredient coverage"
1923484,CHANGE_CORRECT,,,"IV sodium bicarbonate correctly keeps only the electrolyte-solution code B05XA02"
312881,CHANGE_CORRECT,,,"Topical salicylic acid solution correctly keeps only D01AE12, dropping the systemic-analgesic code"
1542942,CHANGE_WRONG,A07AA09,route-pollution,"Oral vancomycin is not systemically absorbed (it treats C. diff locally in the gut, which is exactly why A07AA09 exists as a separate code); J01XA01 is reserved for IV/systemic vancomycin and should not be added to an oral suspension"
105395,CHANGE_WRONG,H02AB09,route-pollution,"Hydrocortone is a plain oral systemic-replacement tablet; dental (A01AC03), rectal/IBD (A07EA02), and hemorrhoid (C05AA01) codes are wrong-route pollution carried over from hydrocortisone's other formulations"
2106997,CHANGE_CORRECT,,,"Drospirenone/EE OC pack correctly keeps only the dedicated combo code G03AA12, dropping the erroneous progestogen-only code G03AC10"
1422076,CHANGE_WRONG,D08AC02|D08AJ01,other,"Hex-O-Prep is a topical antiseptic solution, not a medicated dressing; D09AA (medicated-dressings chapter) doesn't fit this dosage form. D08AJ08 and throat-route codes were correctly dropped"
1012228,CHANGE_CORRECT,,,"Triple-sulfa vaginal insert (sulfabenzamide/sulfacetamide/sulfathiazole) correctly resolves to the dedicated vaginal combo code G01AE10, replacing the nonsensical acne-class production code"
245020,CHANGE_CORRECT,,,"Topical salicylic acid cream correctly keeps only D01AE12"
1250729,CHANGE_CORRECT,,,"Femmesil topical cream correctly keeps only the topical antifungal code D01AC02, dropping dental and vaginal-route codes"
758864,CHANGE_WRONG,D07AA02,other,"Drug name lists hydrocortisone acetate as the sole active ingredient; D07XA01 is the corticosteroid-combination-with-other-agents code and shouldn't apply absent a confirmed second active. Contrast with the analogous single-ingredient hydrocortisone cream at rxcui 1314932, which correctly resolved to D07AA02 alone"
800954,UNSURE,,other,"Complex 15-amino-acid hepatic/renal parenteral nutrition formula (Hepatasol 8); can't confirm the specific B05XB sub-codes offline"
310323,CHANGE_CORRECT,,,"Ferrous sulfate oral solution correctly keeps only B03AA07, dropping a mismatched iron-salt code"
330396,CHANGE_CORRECT,,,"Pantoprazole correctly promoted from bare L4 (A02BC) to the specific L5 A02BC02"
1116111,CHANGE_CORRECT,,,"Malaseb medicated shampoo correctly keeps the topical antifungal/antiseptic codes (D01AC02, D08AC02), dropping dental/vaginal/throat routes"
1046815,CHANGE_CORRECT,,,"Atropine/hyoscyamine/phenobarbital/scopolamine combo correctly resolves to the dedicated combo class A03CB (belladonna and derivatives with psycholeptics) instead of scattered ingredient codes"
1046781,CHANGE_WRONG,N02BE01|R01BA03|R06AB04,other,"Identical acetaminophen/chlorpheniramine/phenylephrine combo to rxcui 1038824 (oral solution), which correctly kept all three ingredient codes; this oral-tablet version instead collapses to the bare L4 R01BA, losing acetaminophen and chlorpheniramine coverage entirely"
1089030,UNSURE,,other,"Zodryl DEC (codeine/guaifenesin/pseudoephedrine); R05FA02 may reasonably cover codeine+guaifenesin but appears to drop pseudoephedrine (R01BA02) coverage -- can't confirm without a live lookup"
210040,CHANGE_WRONG,A02AA04|A02AB01,route-pollution,"G04BX01 (urologicals) is clearly wrong for simethicone, a GI antiflatulent in this aluminum/magnesium hydroxide antacid suspension; a dedicated antacid+antiflatulent combo code (A02AF-series) may also exist and would be preferable to separate ingredient codes"
901190,CHANGE_WRONG,J01CE09,salt-mismatch,"Aquacillin is specifically procaine penicillin G; J01CE01 (plain benzylpenicillin) is a pharmacologically distinct salt/duration-of-action product and should not be added"
1945072,CHANGE_WRONG,H02AB02,ingredient-level-overbroad,"Decadron DP is an oral tapering dose-pack; final dumps nearly every dexamethasone formulation code across all routes (dental, hemorrhoid, topical x2, anti-acne, nasal, ophthalmic x2, otic, eye/ear combo) onto a plain oral tablet"
1484903,CHANGE_WRONG,G03AA07|B03AA02,ingredient-level-overbroad,"L02AA (antineoplastic estrogens, e.g. diethylstilbestrol-type) is unrelated to this contraceptive pack; looks like an unrelated use-code picked up for the estrogen ingredient. Exact combo suffix for the EE/norethindrone-acetate component not fully confirmed offline"
1094168,CHANGE_CORRECT,,,"Diphenhydramine oral solution correctly keeps only the systemic antihistamine code R06AA02, dropping the topical code"
314197,CHANGE_CORRECT,,,"Palivizumab correctly reclassified to J06BD01 (WHO's newer antiviral-monoclonal-antibody chapter), superseding the older immunoglobulin code J06BB16"
1006202,UNSURE,,other,"Pre Milk (hydrogen peroxide teat-dip/dairy-hygiene solution); can't confirm D11AX25 is a legitimate additional hydrogen-peroxide code offline"
1653155,CHANGE_CORRECT,,,"Correctly adds N02BA03 (choline salicylate) and R01BA03 (phenylephrine) alongside the existing expectorant code, giving full ingredient coverage"
1872891,CHANGE_CORRECT,,,"Alocane lidocaine medicated pad correctly keeps D04AB01 (topical anesthetic), dropping the general and throat-route codes"
108118,CHANGE_CORRECT,,,"Mometasone at the ingredient (IN) level correctly returns all of its legitimate route-specific WHO L5 codes (topical, nasal, inhaled, and combination) without route filtering, per documented ingredient-level handling"
1370950,CHANGE_CORRECT,,,"Benzalkonium chloride medicated pad correctly keeps D08AJ01 and adds D09AA11 (medicated-dressing chapter), which fits an impregnated pad/dressing form better than a solution would; drops the mismatched D08AJ08 and throat-route code"
1314932,CHANGE_CORRECT,,,"Single-ingredient hydrocortisone topical cream correctly narrows to D07AA02 alone, dropping dental/rectal/systemic/ophthalmic pollution"
309291,CHANGE_CORRECT,,,"Ciclopirox topical solution correctly keeps only D01AE14, dropping the vaginal-route code"
251406,CHANGE_CORRECT,,,"Topical salicylic acid ointment correctly keeps only D01AE12"
1358853,CHANGE_WRONG,N02BA05|N02BE01|N06BC01,other,"Exaprin is a 4-ingredient analgesic (acetaminophen/aspirin/caffeine/salicylamide); final drops to acetaminophen alone, losing aspirin/caffeine and salicylamide coverage entirely"
1098483,CHANGE_CORRECT,,,"Fluor-A-Day chewable tablet correctly adds A12CD01 (systemic fluoride supplement) alongside the existing dental-prophylaxis code A01AA01 -- both are legitimate for a daily fluoride supplement tablet"
309477,CHANGE_WRONG,N02BA01|N06BC01,ingredient-level-overbroad,"Fiorinal-with-codeine-type product uses codeine as an analgesic, not an antitussive (R05DA04 is the wrong indication); B01AC06 (antiplatelet) and A01AD05 (dental) reflect aspirin's other uses, not this analgesic combo's indication"
