rxcui,drug_name,tty,production_atcs,final_atcs,verdict,source
2106997,{24 (drospirenone 3 MG / ethinyl estradiol 0.02 MG Oral Tablet) / 4 (inert ingredients 1 MG Oral Tablet) } Pack [Jasmiel 28 Day],BPCK,G03AA12|G03AC10,G03AA12,CORRECT,prior
1422076,benzalkonium chloride 4 MG/ML / chlorhexidine gluconate 5 MG/ML / N-alkyl ethylbenzyl dimethyl ammonium chloride (C12-C14) 4 MG/ML Topical Solution [Hex-O-Prep],SBD,A01AB03|D08AC02|D08AJ01|D08AJ08|R02AA05|R02AA16,D08AC02|D08AJ01|D09AA11|D09AA12,KEEP_OURS,prior
1012228,sulfabenzamide 184 MG / sulfacetamide sodium 144 MG / sulfathiazole 172 MG Vaginal Insert,SCD,D10AB02,G01AE10,FLAG_DATA_GAP,prior
245020,salicylic acid 250 MG/ML Topical Cream,SCD,D01AE12|N02BA04,D01AE12,KEEP_OURS,prior
1250729,miconazole nitrate 20 MG/ML Topical Cream [Femmesil],SBD,A01AB09|D01AC02|G01AF04,D01AC02,KEEP_OURS,prior
758864,hydrocortisone acetate 20 MG/ML Topical Cream [MiCort-HC],SBD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,D07AA02|D07XA01,KEEP_OURS,prior
800954,alanine 1.54 MG/ML / arginine 1.2 MG/ML / cysteine 0.04 MG/ML / histidine 0.48 MG/ML / isoleucine 1.8 MG/ML / leucine 2.2 MG/ML / lysine 1.22 MG/ML / methionine 0.2 MG/ML / phenylalanine 0.2 MG/ML / phosphoric acid 0.23 MG/ML / proline 1.6 MG/ML / serine 1 MG/ML / threonine 0.9 MG/ML / tryptophan 0.13 MG/ML / valine 1.68 MG/ML Injectable Solution [Hepatasol 8],SBD,B05XB03|N06AX02|V03AB26,B05XB01|B05XB03|N06AX02|V03AB26,CORRECT,prior
310323,ferrous sulfate 60 MG/ML Oral Solution,SCD,B03AA01|B03AA07,B03AA07,CORRECT,prior
330396,pantoprazole 40 MG,SCDC,A02BC,A02BC02,ADJUDICATED_ADOPT,gap-resolved
1116111,chlorhexidine gluconate 20 MG/ML / miconazole nitrate 20 MG/ML Medicated Shampoo [Malaseb],SBD,A01AB03|A01AB09|D01AC02|D08AC02|G01AF04|R02AA05,D01AC02|D08AC02,FLAG_DATA_GAP,prior
1046815,atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / phenobarbital 16.2 MG / scopolamine hydrobromide 0.0065 MG Oral Tablet,SCD,A03BA03|N03AA02,A03CB,CORRECT,prior
1046781,acetaminophen 325 MG / chlorpheniramine maleate 2 MG / phenylephrine hydrochloride 5 MG Oral Tablet,SCD,N02BE01|R06AB04,R01BA,CORRECT,prior
1089030,codeine phosphate 1 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Suspension [Zodryl DEC],SBD,R01BA02|R05CA03|R05DA04,R05FA02,FLAG_DATA_GAP,prior
210040,aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension [Mylagen],SBD,A02AB01,A02AA04|A02AB01|A02AB02|G04BX01,CORRECT,prior
901190,penicillin G procaine 300000 UNT/ML Injectable Suspension [Aquacillin],SBD,J01CE09,J01CE01|J01CE09,KEEP_OURS,prior
1945072,{49 (dexamethasone 1.5 MG Oral Tablet [Decadron]) } Pack [Decadron DP 12 Day],BPCK,H02AB02|S01BA01,A01AC02|C05AA09|D07AB19|D07XB05|D10AA03|H02AB02|R01AD03|S01BA01|S01CB01|S02BA06|S03BA01,CORRECT,prior
1484903,{24 (ethinyl estradiol 0.01 MG / norethindrone acetate 1 MG Chewable Tablet) / 2 (ethinyl estradiol 0.01 MG Oral Tablet) / 2 (ferrous fumarate 75 MG Oral Tablet) } Pack [Lo Minastrin Fe 28 Day],BPCK,G03CA01,B03AA02|G03AC01|G03CA01|G03DC02|L02AA03,CORRECT,prior
1094168,diphenhydramine hydrochloride 2.5 MG/ML Oral Solution [Beldin],SBD,D04AA32|R06AA02,R06AA02,KEEP_OURS,prior
314197,palivizumab 100 MG/ML Injectable Solution,SCD,J06BB16,J06BD01,CORRECT,prior
1006202,hydrogen peroxide 10 MG/ML Topical Solution [Pre Milk],SBD,A01AB02|D08AX01,D08AX01|D11AX25,KEEP_OURS,prior
1653155,choline salicylate 29 MG/ML / guaifenesin 6.67 MG/ML / phenylephrine hydrochloride 0.33 MG/ML Oral Solution,SCD,R05CA03,N02BA03|R01BA03|R05CA03,KEEP_OURS,prior
1872891,lidocaine hydrochloride 40 MG/ML Medicated Pad [Alocane],SBD,D04AB01|N01BB02|R02AD02,D04AB01,CORRECT,prior
108118,mometasone,IN,R03BA07,D07AC13|D07XC03|R01AD09|R03BA07,CORRECT,prior
1370950,benzalkonium chloride 2.4 MG/ML Medicated Pad,SCD,D08AJ01|D08AJ08|R02AA16,D08AJ01|D09AA11,KEEP_OURS,prior
1314932,hydrocortisone 10 MG/ML Topical Cream [Kera-HC],SBD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,D07AA02,CORRECT,prior
309291,ciclopirox 80 MG/ML Topical Solution,SCD,D01AE14|G01AX12,D01AE14,CORRECT,prior
251406,salicylic acid 0.25 MG/MG Topical Ointment,SCD,D01AE12|N02BA04,D01AE12,KEEP_OURS,prior
1358853,acetaminophen 110 MG / aspirin 162 MG / caffeine 32.4 MG / salicylamide 152 MG Oral Tablet [Exaprin],SBD,N02BA05|N02BE01|N06BC01,N02BE01,FLAG_DATA_GAP,prior
1098483,sodium fluoride 1.1 MG / xylitol 237 MG Chewable Tablet [Fluor a Day Chewable],SBD,A01AA01,A01AA01|A12CD01,CORRECT,prior
309477,aspirin 325 MG / butalbital 50 MG / caffeine 40 MG / codeine 7.5 MG Oral Capsule,SCD,N06BC01|R05DA04,A01AD05|B01AC06|N02BA01|N06BC01|R05DA04,KEEP_OURS,prior
