rxcui,verdict,confidence,recommended_final
198248,IMPROVED,HIGH,N01BA03
198471,IMPROVED,HIGH,N02BA01
1987646,IMPROVED,HIGH,D10AD01
198861,IMPROVED,HIGH,A02AH
199130,IMPROVED,HIGH,D08AX08
1992305,IMPROVED,HIGH,S01ED01
1995466,IMPROVED,HIGH,A07AA01
200082,IMPROVED,HIGH,J05AR01
202248,IMPROVED,HIGH,J01EB05
2046141,IMPROVED,HIGH,L01FG01
2048895,IMPROVED,MED,A01AC01|H02AB08
205336,IMPROVED,HIGH,A01AB02
205352,IMPROVED,HIGH,R01BA01|R01BA03|R06AB04|R06AC01
2055315,IMPROVED,HIGH,D01AE12
206285,BOTH_WRONG,HIGH,D07AA02
207017,BOTH_WRONG,HIGH,N02AD51
207640,IMPROVED,HIGH,C02DA01
208334,IMPROVED,HIGH,D10AD01
208589,BOTH_WRONG,HIGH,S01CA01
209304,IMPROVED,HIGH,G04BC
209717,IMPROVED,HIGH,D06AX04|D06AX05
210072,IMPROVED,HIGH,D01AE12
2106334,BOTH_WRONG,HIGH,J07AM51
210760,IMPROVED,HIGH,A11GA01|B03AA02
2109512,IMPROVED,HIGH,D04AB07
211223,IMPROVED,HIGH,D03BA01
211313,IMPROVED,HIGH,N02BA71
211591,IMPROVED,HIGH,D07AA02
2122905,IMPROVED,HIGH,R01BA53|R05CA03|R05DA03
213641,BOTH_WRONG,MED,D01AC20
2174801,IMPROVED,HIGH,D04AA32
227897,IMPROVED,HIGH,A07EA04|C05AA05|D07AC01|D07XC01|H02AB01|R01AD06|R03BA04|S01BA06|S01CB04|S02BA07|S03BA03
243459,BOTH_WRONG,MED,A02AD01
244537,IMPROVED,MED,D01AE12|D10AB02
247139,IMPROVED,MED,D10AB02|D10AX02
259047,IMPROVED,HIGH,J01GB03
259196,IMPROVED,HIGH,S01XA20
259240,IMPROVED,HIGH,A02AA02|A06AD02|A12CC10
260688,IMPROVED,HIGH,G01AX11
260847,IMPROVED,HIGH,N02BA01
307762,IMPROVED,MED,A02AX
308368,BOTH_WRONG,MED,N02BA51
308389,IMPROVED,HIGH,A11GA01|B03AA02
308412,IMPROVED,HIGH,N02BA01
308636,BOTH_WRONG,HIGH,D04AB04|D08AJ08
308657,IMPROVED,HIGH,N01BA05
308913,IMPROVED,HIGH,A02AD01
309289,IMPROVED,HIGH,D01AE14
309290,IMPROVED,HIGH,D01AE14
309335,IMPROVED,HIGH,J01FF01
309692,IMPROVED,HIGH,S01BA01
310467,IMPROVED,HIGH,S01AA11
310933,IMPROVED,HIGH,S01KA02
310971,IMPROVED,HIGH,S01AD01
312215,IMPROVED,HIGH,A03AD01
312216,IMPROVED,HIGH,A03AD01
312279,REGRESSED,HIGH,C01DA05
312894,IMPROVED,MED,D11AF
313819,IMPROVED,HIGH,J01CA01
313847,IMPROVED,HIGH,L01XF02
313908,IMPROVED,HIGH,D07BA04
348689,BOTH_WRONG,MED,B03AE01
351958,IMPROVED,HIGH,D10AE01|D10AF01
388054,IMPROVED,HIGH,S01ED51
392147,REGRESSED,HIGH,A01AA01
403941,IMPROVED,HIGH,R01BA03|R05CA03|R06AC01
403942,BOTH_WRONG,MED,R01BA53|R05CA03|R06AC01
404044,IMPROVED,HIGH,D07AA02
486515,IMPROVED,HIGH,B05CB01
577799,BOTH_WRONG,MED,NONE
580001,IMPROVED,HIGH,S01XA20
580294,IMPROVED,HIGH,D01AC14
581660,IMPROVED,HIGH,D08AX08
603646,BOTH_WRONG,MED,R01BA53|R05DB05|R06AC01
605132,IMPROVED,HIGH,R02AD01
606947,REGRESSED,HIGH,A03AX10|N02BE01|N05CC04
607076,IMPROVED,MED,A12CC10
615100,BOTH_WRONG,HIGH,B05BB02
616480,IMPROVED,HIGH,N01BX03
616795,IMPROVED,HIGH,D08AX08
616906,IMPROVED,HIGH,R01BA03|R05DB05|R06AB04
637197,BOTH_WRONG,MED,C01EB16
643066,IMPROVED,HIGH,J05AR06
645459,REGRESSED,MED,A01AA01
701627,IMPROVED,HIGH,A11CB
727505,IMPROVED,HIGH,G03GA08
731591,REGRESSED,HIGH,J01CE08|J01CE09
745292,IMPROVED,HIGH,J01CE01
746686,REGRESSED,HIGH,J01AA02
749151,IMPROVED,HIGH,G03AB04
749159,BOTH_WRONG,HIGH,G03AA06
749796,IMPROVED,HIGH,N01BA05
750245,IMPROVED,HIGH,G03AA06
750248,IMPROVED,HIGH,G03AA01
753543,IMPROVED,HIGH,G03AA09
756260,IMPROVED,HIGH,A03CB02
800294,IMPROVED,HIGH,B05BA01
800415,IMPROVED,HIGH,B05BA01
800786,IMPROVED,MED,B05BB02
801142,BOTH_WRONG,MED,B05XA30
806677,IMPROVED,HIGH,R01AX
807396,IMPROVED,MED,B05BB01
809533,IMPROVED,HIGH,A12AX
832907,IMPROVED,MED,A11CC05|A12AA04
836344,IMPROVED,HIGH,R03BB01
848960,IMPROVED,HIGH,S02AA15
853517,BOTH_WRONG,MED,D08AG02
855628,REGRESSED,HIGH,M01AB05|M02AA15|S01BC03
855644,BOTH_WRONG,HIGH,D11AX18
856942,IMPROVED,HIGH,N02AJ22
857725,BOTH_WRONG,MED,R01BA53|R05DA03|R06AB04
858334,IMPROVED,HIGH,A11JA
858364,IMPROVED,HIGH,S01BC05
858866,IMPROVED,HIGH,R01BA03|R05DA03|R06AA08
858900,IMPROVED,HIGH,R01BA03|R05DA03|R06AB06
858905,IMPROVED,HIGH,R01BA03|R05DA03|R06AB06
859132,IMPROVED,HIGH,G04BE01
865073,BOTH_WRONG,MED,D02AB01
866357,IMPROVED,MED,A01AD
884221,IMPROVED,HIGH,N02CX02
884231,BOTH_WRONG,HIGH,C02LC01
891709,IMPROVED,HIGH,A11JB
901857,IMPROVED,MED,D08AC02|D09AA12
990993,IMPROVED,HIGH,S01EB01|S01EB05
991502,IMPROVED,MED,R05DA04|R06AD02
993776,IMPROVED,HIGH,D11AX22
993926,IMPROVED,HIGH,N02BE01|R01BA03|R05DA04|R06AB04
994007,IMPROVED,HIGH,M01AE52
997518,IMPROVED,HIGH,G04BA01|R01BA03|R05DA04|R06AB04
999613,IMPROVED,HIGH,D10AF06
