rxcui,verdict,recommended_final,confidence,evidence
313847,IMPROVED,L01XF02,HIGH,"ATCPROD confirms L01XF for Panretin (alitretinoin gel for AIDS-related Kaposi's sarcoma, an oncology indication); L01XX22 is a stale/retired code no longer found in current WHO index; D10AH04-style dermatology code doesn't match the oncology-labeled product"
745292,IMPROVED,J01CE01,HIGH,"J01CE01=benzylpenicillin(penicillin G, matches the potassium salt oral tablet); production's J01CE08(benzathine)/J01CE09(procaine) are IM depot salt forms, wrong for an oral tablet"
1006110,IMPROVED,D10AF06,HIGH,"Same sulfacetamide-soap pattern as row 1006107 (Ovace); ATCPROD confirms D10AF, production's D10AB02(sulfur) is wrong ingredient"
197576,IMPROVED,H02AB02,HIGH,"ATCPROD confirms H02AB for oral dexamethasone tablet; S01BA01 is the ophthalmic code, wrong route for an oral tablet"
800786,IMPROVED,B05BB02,HIGH,WHO B05BB02='electrolytes with carbohydrates' is an exact match (this IV solution has glucose+electrolytes); production's B05XA08(sodium acetate alone) omits the other 3 ingredients
643066,IMPROVED,J05AR06,HIGH,"WHO J05AR06='emtricitabine, tenofovir disoproxil and efavirenz' is an exact match for Atripla; production lists 3 separate monotherapy codes, missing the dedicated triple-combo code"
1292988,IMPROVED,A03BB03|R01BA53|R06AB54,HIGH,"new_final correctly uses WHO's 50-series combination codes: A03BB03=methylscopolamine, R01BA53='phenylephrine, combinations', R06AB54='chlorphenamine, combinations' - captures all 3 ingredients precisely; production's bare R06AB04(chlorpheniramine monotherapy) misses methscopolamine and phenylephrine and doesn't use the combination suffix"
1041807,IMPROVED,D08AX08,HIGH,Same ethanol-antiseptic pattern as other ethanol topical rows
848960,IMPROVED,S02AA15,HIGH,"ATCPROD confirms S02AA for Cetraxal otic solution; S02AA15=ciprofloxacin(otic-specific). J01MA02 is the systemic oral/IV fluoroquinolone code, wrong route for ear drops"
836344,IMPROVED,R03BB01,HIGH,"Ipratropium MDI is an inhaled bronchodilator for COPD/asthma -> R03BB01; R01AX03 is ipratropium's nasal-spray (rhinitis) code, wrong route for a metered-dose inhaler"
308412,IMPROVED,N02BA01,HIGH,"650mg aspirin ER tablet is a single-ingredient analgesic dose -> N02BA01; B01AC06 is the low-dose antiplatelet code and N02BA51 is the 'combinations' code, both inapplicable to a plain single-ingredient 650mg tablet"
1099861,IMPROVED,A12AX,HIGH,"ATCPROD confirms A12AX ('Calcium, combinations with vitamin D') for this calcium carbonate+cholecalciferol tablet; production's A11CC05(vitamin D alone) omits the calcium carbonate, the dominant-mass ingredient"
207640,IMPROVED,C02DA01,HIGH,"Diazoxide has two WHO codes split by form: C02DA01(IV, hypertensive emergency, matches Hyperstat brand) vs V03AH01(oral, hypoglycemia, matches Proglycem brand). This is the injectable Hyperstat product -> C02DA01"
1090754,IMPROVED,D01AC02,HIGH,ATCPROD confirms D01AC for miconazole topical cream (Inzo); A01AB09(oral/dental) and G01AF04(vaginal) are wrong route for a topical skin cream
994007,IMPROVED,M01AE52,HIGH,"WHO M01AE52='naproxen and esomeprazole' exact match for Vimovo, per WHO's own guideline note that esomeprazole+NSAID combos use the M01A 50-series; production's A02BC05(esomeprazole alone) omits naproxen entirely"
756260,IMPROVED,A03CB02,HIGH,WHO A03CB02='belladonna total alkaloids and psycholeptics' exact match for belladonna alkaloids+phenobarbital combo; production's N03AA02(phenobarbital as antiepileptic alone) omits belladonna and misclassifies the combo's use
809533,IMPROVED,A12AX,HIGH,Same calcium+vitamin D combo pattern as row 1099861 (Caltrate Plus D)
1375115,BOTH_WRONG,H02AB02,HIGH,"Decadron injectable solution (IV/IM systemic use) = H02AB02; production already had this correct code plus one wrong-route code (S01BA01 ophthalmic); new_final kept H02AB02 but added 3 more wrong-route codes (A01AC02 dental, C05AA09 rectal, S03BA01 ophthalmic/otic) - net pollution increase from the base-ingredient cross-route union bug"
1089090,IMPROVED,R01AX,HIGH,"ATCPROD confirms R01AX ('Other nasal preparations') for Pretz glycerin/saline nasal spray; production's 6-code list (laxative, electrolyte, ophthalmic classes) is entirely wrong-route for a nasal spray"
1597298,BOTH_WRONG,N02BE51,MED,"This is a paracetamol+caffeine+pyrilamine combo; the sibling product (row 1145942, 'Sedalmex', paracetamol+caffeine) correctly resolved to N02BE51 ('paracetamol, combinations excl. psycholeptics'). This row's new_final instead uses bare N02BE01 (implies monotherapy), inconsistent with the sibling and missing the combination flag; production's N02BE01+N06BC01 also misses pyrilamine and doesn't use the combo suffix"
200082,IMPROVED,J05AR01,HIGH,"WHO J05AR01='zidovudine and lamivudine' exact match for Combivir; production lists 2 monotherapy codes plus the correct combo code, new_final correctly narrows to just the combo code"
1357402,REGRESSED,R01BA01|R05DA04|R06AB01,HIGH,"Production (R01BA01=phenylpropanolamine, R05DA04=codeine, R06AB01=brompheniramine) already correctly captured all 3 distinct active ingredients with appropriate individual WHO codes. new_final collapsed this to R05DA04 alone, losing 2 of 3 correctly-identified ingredients"
